"item","short_description","category","group_id"
"55704","Pelvis or abdomen, pregnancy related or pregnancy complication, fetal development and anatomy, ultra",5,"I01"
"01172","Full blood examination consisting of items 65003 and 65005",6,"P01"
"71097","Antinuclear antibodies, detection in serum or other body fluids, including quantitation if required",6,"P04"
"17610","Anaesthetist, pre-anaesthesia consultation (Professional attendance by a medical practitioner  in th",3,"T06"
"00927","Fluids, intravenous drip infusion of - percutaneous",3,"T01"
"66725","TSH quantitation described in item 66716 and 2 tests described in item 66695 (This fee applies where",6,"P02"
"05349","Nasendoscopy or sinoscopy or fibreoptic examination of nasopharynx and larynx (Anaes.)",3,"T08"
"00023","LEVEL 'B' Professional attendance involving taking a selective history, examination of the patient w",1,"A01"
"09067","Overnight investigation for sleep apnoea for a period of at least 8 hours duration, involving contin",2,"D01"
"71147","HLA-B27 typing",6,"P04"
"02678","Intravenous pyelography, including preliminary plain film and limited tomography, involving up to 3 ",5,"I03"
"02713","Professional attendance by a medical practitioner (including a general practitioner, but not includi",1,"A20"
"69312","Microscopy and culture to detect pathogenic micro-organisms from urethra, vagina, cervix or rectum (",6,"P03"
"00571","ADMINISTRATION by a medical practitioner of an ENDOTRACHEAL ANAESTHETIC for removal of a tooth or te",3,"T06"
"02512","Hand, wrist, forearm, elbow or arm (elbow to shoulder) (R)",5,"I03"
"01342","Quantitative estimation of-- acid phosphatase, aldolase, amylase, lipase, amylase and lipase, bromid",6,"P02"
"55828","Knee, 1 or both sides, ultrasound scan of, where: (a)	the service is not associated with a service t",5,"I01"
"85533","Adhesive restoration - three surfaces - posterior tooth - direct",9,"N01"
"65126","3tests described in item 65120",6,"P01"
"55040","Pelvis or abdomen, pregnancy related or pregnancy complication, ultrasound scan of, by any or all ap",5,"I01"
"10996","Treatment of a person's wound (other than normal aftercare) provided by a practice nurse if: (a) the",8,"M02"
"57350","Computed tomography - spiral angiography with intravenous contrast medium, including any scans perfo",5,"I02"
"01187","Blood grouping (including back-grouping if performed) - ABO and Rh (D antigen)",6,"P01"
"66509","4tests described in item 66500",6,"P02"
"00170","Professional attendance for the purpose of group therapy of not less than one hour's duration given ",1,"A06"
"66506","3tests described in item 66500",6,"P02"
"61361","Hepatobiliary study with formal quantification following baseline imaging, using a cholagogue (R) (K",5,"I04"
"57963","Orthopantomography, for diagnosis and/or management of impacted teeth, caries, periodontal or peripi",5,"I03"
"12306","Bone densitometry (performed by a specialist or consultant physician where the patient is referred b",2,"D01"
"69393","4tests described in item 69384 (This fee applies where 1 laboratory, or more than 1 laboratory belon",6,"P03"
"35502","Intrauterine device, introduction of, for the control of idiopathic menorrhagia, and endometrial bio",3,"T08"
"00916","ELECTROCARDIOGRAPHIC MONITORING during exercise (bicycle ergometer or treadmill) involving the conti",2,"D01"
"69481","Three tests for the investigation of infectious causes of acute or chronic hepatitis including:(a) o",6,"P03"
"69400","Atest described in item 69384, if rendered by a receiving APP, where no tests in the item have been ",6,"P03"
"00908","Twelve-lead electrocardiography, tracing and report",2,"D01"
"05023","Professional attendance by a general practitioner (not being an attendance at consulting rooms, a ho",1,"A22"
"00003","Professional attendance at consulting rooms (not being a service to which any other item applies) by",1,"A01"
"66327","TSH quantitation",6,"P02"
"63491","Note: benefits in subgroup 22 are only payable for modifying items where claimed simultaneously with",5,"I05"
"04388","Fibreoptic colonoscopy  examination of colon beyond the hepatic flexure with or without biopsy (Anae",3,"T08"
"01941","Rose Waaler test, quantitative, using sheep cells (SP)",6,"P04"
"69438","Testing for Hepatitis C using: Hepatitis C antibody test  (Item is subject to rule 11)",6,"P03"
"69478","Two tests for hepatitis antigens or antibodies to determine immune status or viral carriage followin",6,"P03"
"02338","Cytological examination of smears from cervix or vagina for detection of pre-cancerous or cancerous ",6,"P06"
"55832","Lower leg, 1 or both sides, ultrasound scan of, where: (a)	the service is not associated with a serv",5,"I01"
"04080","Appendicectomy, not being a service to which item 30574 applies (Anaes.) (Assist.)",3,"T08"
"66263","Iron studies, consisting of quantitation of: (a) serum iron; and (b)transferrin or iron binding capa",6,"P02"
"69221","Direct detection of Chlamydia from clinical material, not cultures  1 or more estimations",6,"P03"
"66719","Thyroid function tests (comprising the service described in item 66716 and 1 or more of the followin",6,"P02"
"03046","Skin and subcutaneous tissue or mucous membrane, repair of recent wound of, other than on face or ne",3,"T08"
"00406","Administration of an anaesthetic in connection with a medical service, being a medical service which",3,"T06"
"69271","Determination of immune status to Hepatitis B (post vaccination) using: Hepatitis B surface antibody",6,"P03"
"56021","Computerised tomography  scan of facial bones, sinuses and salivary glands  scan of 1 or more region",5,"I02"
"02086","Microscopic examination of faeces for parasites using concentration techniques including the use of ",6,"P03"
"73287","Chromosome studies, (karyotype), by cytogenetic or other comparable techniques, of 1 or more of any ",6,"P07"
"58509","Thoracic inlet or trachea (R)",5,"I03"
"02590","Teeth  orthopantomography (R)",5,"I03"
"66518","Investigation of cardiac or skeletal muscle damage by quantitative measurement of creatine kinase is",6,"P02"
"49557","Knee, diagnostic arthroscopy of (including biopsy, simple trimming of meniscal margin or plica) - no",3,"T08"
"06007","Professional attendance at consulting rooms or hospital by a specialist practising in the specialty ",1,"A26"
"03320","Plantar wart, removal of (Anaes.)",3,"T08"
"20160","Initiation of management of anaesthesia for procedures on nose or accessory sinuses, not being a ser",3,"T10"
"01014","Blood film, examination of-- including erythrocyte morphology, differential count by one or more met",6,"P01"
"66201","Quantitative estimation in serum, plasma, urine or any other body fluid, by any method except by rea",6,"P02"
"05203","Standard consultation of more than 5 minutes duration but not more than 25 minutes duration. The att",1,"A23"
"30676","PILONIDAL SINUS OR CYST, OR SACRAL SINUS OR CYST, excision of, in a person ten years of age or over",3,"T08"
"10915","Professional attendance of more than 15 minutes duration, being the first in a course of attention i",1,"A10"
"56001","Computerised tomography - scan of brain without intravenous contrast medium, not being a service to ",5,"I02"
"72830","Examination of complexity level 5 biopsy material with 1 or more tissue blocks, including specimen d",6,"P05"
"80010","Professional attendance for the purpose of providing psychological assessment and therapy for a ment",8,"M06"
"85615","Full crown - veneered - indirect",9,"N01"
"55201","Duplex scanning (unilateral or bilateral) involving B mode ultrasound imaging and integrated Doppler",5,"I01"
"66770","3examinations described in item 66764 performed on separately collected and identified specimens",6,"P02"
"55038","Urinary tract, ultrasound scan of, if: (a) the patient is referred by a medical practitioner for ult",5,"I01"
"66839","Quantification of vitamin B12 markers such as holoTranscobalamin or methylmalonic acid, where initia",6,"P02"
"01424","Assay of T3 resin uptake, thyroxine (T4) or normalised thyroxine (effective thyroxine ratio)-- using",6,"P02"
"41671","Nasal septum, septoplasty, submucous resection or closure of septal perforation (Anaes.)",3,"T08"
"66653","2or more tests described in item 66650",6,"P02"
"20170","Initiation of management of anaesthesia for intraoral procedures, including biopsy, not being a serv",3,"T10"
"00921","Measurement of respiratory function involving a permanently recorded tracing performed before and af",2,"D01"
"85532","Adhesive restoration - two surfaces - posterior tooth - direct",9,"N01"
"60503","Fluoroscopy, without general anaesthesia (not being a service associated with a radiographic examina",5,"I03"
"45206","Single stage local flap where indicated to repair 1 defect, on eyelid, nose, lip, neck, hand, thumb,",3,"T08"
"01673","Microscopical examination of urine, with cell count, relevant stains (if indicated), aerobic cultura",6,"P03"
"69345","Culture and (if performed) microscopy without concentration techniques of faeces for faecal pathogen",6,"P03"
"74999","Apayment when the episode is bulk billed and includes item 73916, 73919, 73923, 73925,73927, 73929, ",6,"P13"
"42644","Cornea or sclera, removal of imbedded foreign body from (excluding aftercare) (Anaes.)",3,"T08"
"55116","Exercise stress echocardiography performed in conjunction with item 11712, with two-dimensional reco",5,"I01"
"01310","Six or more estimations of a kind specified in Item 1301 (SP)",6,"P02"
"02281","Rheumatoid factor - detection by any technique in serum or other body fluids, including quantitation",6,"P04"
"69317","1test described in item 69494 and a test described in 69316.  (Item is subject to rule 26)",6,"P03"
"61449","Localised bone or joint study and single photon emission tomography, including when undertaken, bloo",5,"I04"
"02953","Assistance at any operation for which the fee exceeds $325.45 or at a combination of operations for ",3,"T09"
"71057","Electrophoresis, quantitative and qualitative, of serum, urine or other body fluid all collected wit",6,"P04"
"00186","CONTACT LENSES FOR SPECIFIED CLASSES OF PATIENTS - BULK ITEMS FOR ALL SUBSEQUENT CONSULTATIONS Note:",1,"A10"
"02183","2tests described in item 69384 (This fee applies where 1 laboratory, or more than 1 laboratory belon",6,"P03"
"01452","Hormone assays (including assay of insulin, growth hormone, TSH, LH, FSH, T3, prolactin, renin, gast",6,"P02"
"55244","Duplex scanning, unilateral, involving B mode ultrasound imaging and integrated doppler flow measure",5,"I01"
"65123","2tests described in item 65120",6,"P01"
"63125","Magnetic resonance imaging (including Magnetic Resonance Angiography if performed), performed under ",5,"I05"
"02081","Cytological examination for pathological change of smears from cervix and vagina, skin or mucous mem",6,"P06"
"02413","Computerised tomography  scan of spine, 1 or more regions, 25 slices or less without intravenous con",5,"I02"
"11709","CONTINUOUS ECG MONITORING (Holter) of ambulatory patient for twelve or more hours involving recordin",2,"D01"
"66512","5tests described in item 66500",6,"P02"
"66542","Oral glucose tolerence test for the diagnosis of diabetes mellitus that includes the following: (a) ",6,"P02"
"00059","Professional attendance (not being an attendance at consulting rooms, an institution, a hospital or ",1,"A02"
"56210","Computerised tomography - scan of spine, 1 or more regions, without intravenous contrast medium, pay",5,"I02"
"17690","-Where a pre-anaesthesia consultation covered by an item  in the range 17615-17625 is performed in-r",3,"T06"
"66335","Aservice described in item 66521 and 1 test described in item 66500",6,"P02"
"10907","Professional attendance of more than 15 minutes duration,being the first in a course of attention, i",1,"A10"
"61391","Renal study with intervention (R)",5,"I04"
"01163","Blood count consisting of erythrocyte count, Creactive protein, erythrocyte sedimentation rate, bloo",6,"P01"
"01121","Examination of serum for Rh antibodies or other blood group antibodies or both Rh antibodies and oth",6,"P01"
"10913","Professional attendance of more than 15 minutes duration, being the first in a course of attention, ",1,"A10"
"30219","Haematoma, furuncle, small abscess or similar lesion not requiring a general anaesthetic, incision w",3,"T08"
"02528","Foot, ankle, lower leg, upper leg, knee or thigh (femur) (R)",5,"I03"
"00878","Impedance audiogram involving tympanometry and measurement of static compliance and acoustic reflex ",2,"D01"
"04227","Femoral or inguinal hernia or infantile hydrocele, repair of, not being a service to which item 3040",3,"T08"
"01687","Microscopical examination of faeces or body fluids for parasites, cysts or ova, with or without simp",6,"P03"
"05392","Tonsils or tonsils and adenoids, removal of, in a person 12 years of age or over (Anaes.)",3,"T08"
"74993","Apayment when the episode is bulk billed and includes item 73918, 73922 or 73926.",6,"P13"
"61505","CT scan performed at the same time and covering the same body area as single photon emission tomogra",5,"I04"
"11240","Orbital contents, unidimensional ultrasonic echography or partial coherence interferometry of, for t",2,"D01"
"57902","Cephalometry, not in association with item 57901 (R)",5,"I03"
"55073","Breast, one, ultrasound scan of, if: (a) the patient is not referred by a medical practitioner; and ",5,"I01"
"87719","Complete maxillary and mandibular dentureslimit of one new set of dentures per patient every eight (",9,"N03"
"00020","Professional attendance (not being a service to which any other item applies) at a residential aged ",1,"A01"
"01640","Coagulase test for organism identification by slide or tube method, not being a test conducted in co",6,"P03"
"72846","Immunohistochemical examination of biopsy material by immunofluorescence, immunoperoxidase or other ",6,"P05"
"66355","Ferritin - quantitation, except if requested as part of iron studies",6,"P02"
"73907","Initiation of a patient episode by collection of a specimen for 1 or more  services (other than thos",6,"P10"
"31330","Malignant melanoma, appendageal carcinoma, malignant fibrous tumour of skin, merkel cell carcinoma o",3,"T08"
"41647","Ear toilet requiring use of operating microscope and microinspection of tympanic membrane with or wi",3,"T08"
"51300","Assistance at any operation for which the fee exceeds $183.20 but does not exceed $325.45 or at a se",3,"T09"
"74992","Apayment when the episode is bulk billed and includes item 73920.",6,"P13"
"37218","Prostate, needle biopsy of, or injection into (Anaes.)",3,"T08"
"74998","Apayment when the episode is bulk billed and includes item 73938.",6,"P13"
"85114","Removal of calculus - first visitlimit of one (1) per 6 month period.",9,"N01"
"66650","Alpha-fetoprotein, ca-15.3 antigen (ca15.3), ca-125 antigen (ca125), ca-19.9 antigen (ca19.9), cance",6,"P02"
"16522","Management of labour and delivery, or delivery alone, (including Caesarean section), where in the co",3,"T04"
"71109","Antibodies to tissue antigens (acetylcholine receptor, adrenal cortex, heart, histone, insulin, insu",6,"P04"
"65134","3tests described in item 65175 (Item is subject to rule 6)",6,"P01"
"57715","Pelvic girdle (R)",5,"I03"
"11312","Audiogram, air and bone conduction or air conduction and speech discrimination",2,"D01"
"69316","Detection of Chlamydia trachomatis by any method - 1 test (Item is subject to rule 26)",6,"P03"
"00132","Professional attendance of at least 45 minutes duration for an initial assessment of a patient with ",1,"A04"
"06011","Each attendance subsequent to the first in a single course of treatment being an attendance involvin",1,"A26"
"66259","Alpha-fetoprotein, beta-2-microglobulin, caeruloplasmin, ferritin (except when part of item 66263), ",6,"P02"
"08298","Dupuytren's contracture, radical operation for (AU 9)",3,"T08"
"65129","4or more tests described in item 65120",6,"P01"
"66560","Microalbumin - quantitation in urine",6,"P02"
"16404","Professional attendance at consulting rooms or a hospital by a specialist in the practice of his or ",3,"T04"
"20142","INITIATION OF MANAGEMENT OF ANAESTHESIA for lens surgery",3,"T10"
"00110","Professional attendance at consulting rooms or hospital, by a consultant physician in the practice o",1,"A04"
"01545","Microscopical examination using gram or similar stain (e.g. Loeffler, methylene blue, Giemsa)-- one ",6,"P03"
"02709","Barium or other opaque meal of oesophagus, stomach and duodenum, with or without screening of chest ",5,"I03"
"66655","Prostate specific antigen - quantitation - 1 of this item in a 12 month period  (Item is subject to ",6,"P02"
"47915","Ingrowing toenail, wedge resection for, not being a service associated with a service to which item ",3,"T08"
"58921","Opaque enema, including air contrast study (R)",5,"I03"
"01781","Complement fixation tests-- one test (SP)",6,"P03"
"00119","Professional attendance at consulting rooms or hospital by a consultant physician in the practice of",1,"A04"
"66319","Quantitation of glycated haemoglobin performed in the management of established diabetes  (item is s",6,"P02"
"69315","Microscopy and culture to detect pathogenic micro-organisms, and the detection of chlamydia from ure",6,"P03"
"66503","2tests described in item 66500",6,"P02"
"01080","Blood grouping (including back grouping when performed)-- ABO and Rh (D antigen) (not covered by Ite",6,"P01"
"10916","Professional attendance, being the first in a course of attention, of not more than 15 minutes durat",1,"A10"
"73045","Cytological examination including serial examinations for malignant cells of body fluids, sputum (si",6,"P06"
"66602","Red cell folate and serum B12 and, if required, serum folate, to a maximum of 3 episodes in a 12 mon",6,"P02"
"35657","Hysterectomy, vaginal, with or without uterine curettage, not being a service to which item 35673 ap",3,"T08"
"73049","Cytological examination of material obtained from a patient by fine needle aspiration of solid tissu",6,"P06"
"61446","Localised bone or joint study, including when undertaken, blood flow, blood pool and repeat imaging ",5,"I04"
"41689","Turbinectomy or turbinectomies, partial or total, unilateral (Anaes.)",3,"T08"
"30441","Intra operative ultrasound for staging of intra abdominal tumours",3,"T08"
"69402","Tests described in item 69384, if rendered under a request referred to in subparagraph (2) (a) (iii)",6,"P03"
"02033","6or more estimations specified in item 66301",6,"P02"
"13757","Therapeutic venesection for the management of haemochromatosis, polycythemia vera or porphyria cutan",3,"T01"
"45203","Single stage local flap, where indicated to repair 1 defect, complicated or large, excluding flap fo",3,"T08"
"55076","Breasts, both, ultrasound scan of, if: (a) the patient is referred by a referring practitioner; and ",5,"I01"
"31265","Basal cell carcinoma or squamous cell carcinoma (including keratocanthoma), removal from face, neck ",3,"T08"
"71085","2estimations specified in item 71083",6,"P04"
"00721","Preparation by a medical practitioner (including a general practitioner, but not including a special",1,"A15"
"69420","Investigation for acute or resolving Hepatitis B, or testing of close, recent contacts of proven Hep",6,"P03"
"11000","Electroencephalography, not being a service associated with a service to which item 11003, 11006 or ",2,"D01"
"61390","Renal study with diuretic administration following a baseline study (R)",5,"I04"
"66800","Quantitation in blood, urine or other body fluid by any method (except reagent tablet or reagent str",6,"P02"
"74995","Apayment when the episode is bulk billed and includes item 73899, 73900, 73928, 73930 or 73936.",6,"P13"
"66698","2tests described in item 66695 (Item is subject to rule 6)",6,"P02"
"11221","Full quantitative computerised perimetry - (automated absolute static threshold) performed by or on ",2,"D01"
"72816","Examination of complexity level 3 biopsy material with 1 or more tissue blocks, including specimen d",6,"P05"
"01823","Haemagglutination inhibition tests-- one test (SP)",6,"P03"
"69496","3or more tests described in 69494  (Item is subject to rule 6 and 26)",6,"P03"
"66750","Quantitation, in pregnancy, of any two of the following - total human chorionic gonadotrophin (total",6,"P02"
"73901","Initiation of a patient episode that consists of a service described in item 73053, 73055 or 73057 (",6,"P10"
"69262","Detection of chlamydia by any method in specimens from 1 or more sites",6,"P03"
"69306","Microscopy and culture to detect pathogenic micro-organisms from skin or other superficial sites, in",6,"P03"
"22900","Initiation of management by a medical practitioner of anaesthesia for extraction of tooth or teeth w",3,"T10"
"01560","2estimations specified in item 66201",6,"P02"
"56501","Computerised tomography - scan of upper abdomen and pelvis without intravenous contrast medium, not ",5,"I02"
"71075","Immunoglobulin E (total), quantitative estimation with a maximum of 2 patient episodes in any 12 mon",6,"P04"
"00781","Cystometrography, not being a service associated with a service to which item 11012-11027, 11912, 11",2,"D01"
"71121","Estimation of 2 antibodies specified in item 71119",6,"P04"
"02700","Preparation by a medical practitioner who has not undertaken mental health skills training (includin",1,"A20"
"00052","Professional attendance at consulting rooms of not more than 5 minutes duration (not being a service",1,"A02"
"65096","Blood grouping (including back-grouping if performed), and examination of serum for Rh and other blo",6,"P01"
"02118","Cultural examination (including the detection of clostridial toxins or antigens not elsewhere specif",6,"P03"
"73929","Initiation of a patient episode by collection of a specimen for 1 or more services  (other than thos",6,"P10"
"11318","Audiogram, air and bone conduction and speech, with other cochlear tests",2,"D01"
"55042","Pelvis, ultrasound scan of, by any or all approaches, where: (a)  the patient is referred by a medic",5,"I01"
"65063","Erythrocyte count, haematocrit, haemoglobin, calculation or measurement of red cell index or indices",6,"P01"
"37219","Prostate, needle biopsy of, using prostatic ultrasound techniques and obtaining 1 or more prostatic ",3,"T08"
"69354","Blood culture for pathogenic micro-organisms (other than viruses), including sub-cultures and (if pe",6,"P03"
"73523","Semen examination (excluding post vasectomy semen examination), involving measurement of volume, spe",6,"P08"
"00791","ULTRASONIC CROSSSECTIONAL ECHOGRAPHY, not associated with Item 55003, 55006 or 55009 where the patie",5,"I01"
"66734","TSH quantitation described in item 66716 and 5 tests described in item 66695 (This fee applies where",6,"P02"
"74996","Apayment when the episode is bulk billed and includes item 73932 or 73940.",6,"P13"
"00192","Antenatal care (not including any service or services to which item 16516 or 16517 applies) where th",3,"T04"
"02597","Spine  cervical (R)",5,"I03"
