"procedure_code","block","procedure_desc","procedure_short_desc"
"1121200","1835","Examination of optic fundi","Examination of optic fundi"
"1121500","1990","Retinal photography of 1 eye","Retinal photography of 1 eye"
"1121800","1990","Retinal photography of both eyes","Retinal photography of both eyes"
"1122100","1832","Full quantitative computerised perimetry, bilateral","Full quantitative comput perimetry bil"
"1122400","1832","Full quantitative computerised perimetry, unilateral","Full quantitatv comput perimetry uni"
"1123500","1835","Examination of eye by impression cytology of cornea","Exam eye by impression cytology cornea"
"1124000","1940","Unidimensional ultrasound of orbital contents","Unidimensional u/s of orbital contents"
"1124001","1835","Partial coherence interferometry","Partial coherence interferometry"
"1130000","1839","Brain stem evoked response audiometry","Brain stem evoked response audiometry"
"1130300","1840","Electrocochleography by extratympanic method","Electrocochleography, extratympanic meth"
"1130400","1840","Electrocochleography by transtympanic method","Electrocochleography, transtympanic meth"
"1130600","1843","Other audiometry","Other audiometry"
"1130900","1836","Air conduction audiometry, standard technique","Air conduction audiometry, std tech"
"1130901","1836","Air conduction audiometry using visual reinforcement","Air conductn audiometry visual reinfrcmt"
"1131200","1836","Air and bone conduction audiometry, standard technique","Air & bone conduction audiometry, std"
"1131201","1839","Air conduction and speech discrimination audiometry","Air conduction & sp discrim audiometry"
"1131202","1836","Air and bone conduction audiometry using visual reinforcement","Air & bone audiometry visual reinfrcmt"
"1131500","1839","Air and bone conduction and speech discrimination audiometry","Air & bne conductn & sp discrim audiomty"
"1131501","1837","Speech discrimination test","Speech discrimination test"
"1131502","1837","Speech discrimination test with background noise","Speech discrim test w backgrnd noise"
"1131800","1839","Air and bone conduction and speech discrimination audiometry with other cochlear testing","Air & bne conductn, audiomty & oth test"
"1132100","1843","Measurement of glycerol induced cochlear function changes","Measure glycerol ind cochlear fn changes"
"1132400","1841","Tympanometry using standard probe tone","Tympanometry using standard probe tone"
"1132401","1841","Tympanometry using high frequency probe tone","Tympanometry usg high freq probe tone"
"1133200","1844","Click evoked otoacoustic emissions evaluation","Click evoked otoacoustic emissions evaln"
"1133201","1844","Distortion product otoacoustic emissions evaluation","Distortion prdct otoacous emission evaln"
"1133202","1844","Other otoacoustic emissions evaluation","Other otoacoustic emissions evaluation"
"1133300","1845","Caloric test of labyrinth","Caloric test of labyrinth"
"1133600","1845","Simultaneous bithermal caloric test of labyrinths","Simults bitherml caloric test labyrinths"
"1133900","1845","Electronystagmography [ENG]","Electronystagmography [ENG]"
"1150000","1849","Bronchospirometry","Bronchospirometry"
"1150300","1847","Measurement of respiratory muscle strength involving transdiaphragmatic or oesophageal pressures","Measure resp musc strength inv pressures"
"1150301","1847","Measurement of respiratory muscle strength at multiple lung volumes","Measure resp musc strength mult lung vol"
"3005500","1601","Dressing of wound","Dressing of wound"
"1150302","1847","Measurement of respiratory muscle endurance or fatigability","Measure resp musc endurance/fatigability"
"1150303","1847","Measurement of respiratory muscle strength before and after intravenous injection of placebo and anticholinesterase drugs","Measure resp musc before/aft inj/o drugs"
"1150304","1848","Exercise testing to assess respiratory status","Exercise test to assess resp status"
"1150305","1848","Spirometry with exercise testing","Spirometry with exercise testing"
"1150306","1849","Measurement of phrenic nerve function","Measurement of phrenic nerve function"
"1150307","1849","Measurement of pulmonary distensibility","Measurement of pulmonary distensibility"
"1150308","1849","Assessment of arterial carbon dioxide tension or cardiac output, rebreathing method","Assess art CO2 tension/cardiac output"
"1150309","1849","Measurement of resistance of anterior nares or pharynx","Measure resistance of ant nares/pharynx"
"1150310","1849","Measurement of gas exchange","Measurement of gas exchange"
"1150311","1849","Measurement of carbon monoxide diffusing capacity","Measurement of CO diffusing capacity"
"1150312","1849","Measurement of total lung volume","Measurement of total lung volume"
"1150313","1849","Measurement of airway or pulmonary resistance","Measurement airway/pulmonary resistance"
"1150314","1849","Measurement of ventilatory and/or occlusion pressure responses to progressive hypercapnia and hypoxia","Measure ventilatry &/ occlus press respn"
"1150315","1849","Measurement of ventilation perfusion ratios using multiple inert gas elimination techniques","Measure ventn perfn ratios gas elim tech"
"1150316","1849","Continuous monitoring of pulmonary function for >= 6 hours duration","Contin monitor pulmonary function >=6 hr"
"1150317","1849","Inhalation provocation testing","Inhalation provocation testing"
"1150318","1849","Tests of distribution of ventilation","Tests of distribution of ventilation"
"1150319","1849","Simulated altitude test","Simulated altitude test"
"1150600","1849","Other measurement of respiratory function","Other measurement, respiratory function"
"1151200","1849","Continuous measurement of relationship between flow and volume during expiration or inspiration","Contin measure relatnshp b flow & vol"
"1160000","1850","Cardiac intracavity blood pressure monitoring","Cardiac intracavity blood press monitor"
"1160001","1850","Pulmonary arterial pressure monitoring","Pulmonary arterial pressure monitoring"
"1160002","1850","Central venous pressure monitoring","Central venous pressure monitoring"
"1160003","1850","Systemic arterial pressure monitoring","Systemic arterial pressure monitoring"
"1160200","1852","Examination and recording of wave forms of peripheral veins in 1 or more extremities at rest using CW Doppler or pulsed Doppler","Exam & rcrd wve frm perph vein Doppler"
"1160300","1852","Examination and recording of wave forms of peripheral vessels at rest by 1 technique","Exam, rcrd wave frm perph vesl 1 tech"
"1160400","1852","Examination and recording of wave forms of peripheral veins in 1 or more extremities using plethysmography","Exam & rcrd wve form perph vein pltsmg"
"1160500","1852","Examination and recording of wave forms of peripheral veins in lower extremities during and following exercise, using infrared photoplethysmography","Exam & rcrd wve frm ven infrd phtpltsmg"
"1160600","1852","Examination and recording of wave forms of peripheral vessels at rest by 2 techniques","Exam, rcrd wave frm perph vesl 2 tech"
"1160900","1852","Examination and recording of wave forms of peripheral vessels at rest by >= 3 techniques","Exam rcrd wve frm perph vesl >= 3 tech"
"1161000","1852","Measurement of systolic arterial pressure indices bilaterally and assessment of arterial wave forms in lower extremities","Measure art press & wave form low extrem"
"1161100","1852","Measurement of systolic arterial pressure indices bilaterally and assessment of arterial wave forms in upper extremities","Measure art press & wave form upp extrem"
"1161200","1852","Measurement of systolic arterial pressure indices bilaterally at rest and following exercise in lower extremities","Measure art press at rest & foll exer"
"1161400","1851","Examination and recording of wave forms of intracranial arterial circulation using transcranial Doppler","Exam rcrd wve intrcran art trnscran Dplr"
"1161500","1857","Measurement of digital temperature","Measurement of digital temperature"
"1161800","1851","Examination and recording of wave forms of carotid or vertebral vessels by 1 technique","Exam rcrd wve carot / vert vesl 1 tech"
"1162100","1851","Examination and recording of wave forms of carotid vessels by 2 techniques","Exam, rcrd wave carot/vert vesl 2 tech"
"1162400","1851","Examination and recording of wave forms of carotid or vertebral vessels by >= 3 techniques","Exam & rcrd wave carot/vert >= 3 tech"
"1170000","1855","Other electrocardiography [ECG]","Other electrocardiography [ECG]"
"1170600","1855","Phonocardiography with electrocardiograph [ECG] lead","Phonocardiography with ECG lead"
"1170601","1855","Phonocardiography with electrocardiograph [ECG] lead with apex cardiogram","Phonocardiography ECG lead apex cardiogm"
"1170800","1853","Ambulatory continuous ECG recording","Ambulatory continuous ECG recording"
"1170900","1853","Holter ambulatory continuous ECG recording","Holter ambulatory continuous ECG rcrd"
"1171000","1854","Patient activated ambulatory ECG monitoring, recording for at least 20 seconds prior to and 15 seconds after each activation","Pt actvd ECG 20 prior & 15 sec aft actvn"
"1171100","1854","Patient activated ambulatory ECG monitoring, recording for at least 30 seconds after each activation","Pt actvd ambulatory ECG 30 after actvn"
"1171200","1857","Cardiovascular stress test","Cardiovascular stress test"
"1171300","1855","Signal averaged ECG recording","Signal averaged ECG recording"
"1171500","1857","Blood dye - dilution indicator test","Blood dye - dilution indicator test"
"1171800","1856","Testing of other cardiac pacemaker","Testing of other cardiac pacemaker"
"1172100","1856","Testing of atrioventricular [AV] sequential implanted pacemaker","Testing A-V sequential impl pacemaker"
"1172101","1856","Testing of rate responsive implanted pacemaker","Test rate responsive implanted pacemaker"
"1172102","1856","Testing of antitachycardia implanted pacemaker","Test antitachycardia implanted pacemaker"
"1172103","1856","Testing of atrioventricular [AV] sequential, rate responsive or antitachycardia cardiac pacemaker","Test A-V seqtl rate respn / antchy pcmkr"
"1172200","1854","Patient activated implantable cardiac event monitoring","Pt actvd impl card event monitoring"
"1172400","1857","Upright tilt table testing","Upright tilt table testing"
"1172700","1856","Testing of cardiac defibrillator","Testing of cardiac defibrillator"
"1180000","1859","Oesophageal motility test","Oesophageal motility test"
"1181000","1859","Measurement of gastro-oesophageal reflux involving 24 hour pH monitoring","Measure gastoesph reflux 24hr pH monitor"
"1182000","1005","Panendoscopy via camera capsule","Panendoscopy via camera capsule"
"1183000","1859","Anal manometry","Anal manometry"
"1183001","1859","Measurement of anorectal sensation","Measurement of anorectal sensation"
"1183002","1859","Measurement of rectosphincteric reflex","Measurement of rectosphincteric reflex"
"1183300","1859","Measurement of pudendal and spinal nerve motor latency","Measure pudendal & spin nrv motor latncy"
"1183301","1859","Electromyography of pelvic floor and anal sphincter muscles","EMG pelvic floor & anal sphincter musc"
"1190000","1862","Urine flow study","Urine flow study"
"1190300","1860","Cystometrography","Cystometrography"
"1190600","1861","Urethral pressure profilometry [UPP]","Urethral pressure profilometry [UPP]"
"1190900","1861","Urethral pressure profilometry [UPP] with urethral sphincter electromyography","UPP with urethral sphincter EMG"
"1191200","1860","Cystometrography with measurement of rectal pressure","CMG with measurement rectal pressure"
"1191500","1860","Cystometrography with urethral sphincter electromyography","CMG with urethral sphincter EMG"
"1191700","1860","Cystometrography with 1 or more measurements","Cystometrography with >= 1 measurements"
"1191800","1860","Cystometrography with one or more measurements","Cystometrography with >=1 measurements"
"1191900","1860","Cystometrography with contrast micturating cystourethrography","CMG w contrst mict cystourethrography"
"1192100","1862","Bladder washout test study","Bladder washout test study"
"1200000","1864","Skin sensitivity testing using <= 20 allergens","Skin sensitivity test usg <= 20 allrgn"
"1200300","1864","Skin sensitivity testing using >= 21or more allergens","Skin sensitivity test usg >= 21 allrgn"
"1201200","1865","Epicutaneous patch testing using less than the total number of allergens in a standard patch test battery","Epicut patch test < std number allergens"
"1201500","1865","Epicutaneous patch testing using all the allergens in standard patch test battery","Epicut patch test usg all std allergens"
"1201800","1865","Epicutaneous patch testing using <= 50 allergens","Epicut patch test using <= 50 allergens"
"1202100","1865","Epicutaneous patch testing using >= 51 allergens","Epicut patch test using >= 51 allergens"
"1220000","1885","Iontophoresis","Iontophoresis"
"1220300","1828","Polysomnography","Polysomnography"
"1220301","1828","Overnight oximetry","Overnight oximetry"
"1230600","1984","Bone densitometry using dual energy x-ray absorptiometry","Bone densitometry usg dual energy xray"
"1230900","1984","Bone densitometry using quantitative computerised tomography","Bone densitometry using quantitative CT"
"1250000","1863","Blood volume nuclear medicine estimation","Blood vol nuclear medicine estimation"
"1250300","1863","Erythrocyte radioactive uptake survival time test","Erythrocyte radioact uptake survl test"
"1250301","1863","Iron kinetic test","Iron kinetic test"
"1250600","1863","Gastrointestinal nuclear medicine blood loss estimation","GI nuclear med blood loss estimation"
"1250900","1863","Gastrointestinal nuclear medicine protein loss test","GI nuclear medicine protein loss test"
"1251200","1863","Radioactive B12 absorption test, 1 isotope","Radioactive B12 absorptn test 1 isotope"
"1251500","1863","Radioactive B12 absorption test, 2 isotopes","Radioactive B12 absorptn test 2 isotopes"
"1251800","1863","Thyroid uptake study","Thyroid uptake study"
"1252100","1863","Perchlorate discharge study","Perchlorate discharge study"
"1252400","1863","Renal function nuclear medicine test","Renal function nuclear medicine test"
"1253000","1863","Nuclear medicine whole body count","Nuclear medicine whole body count"
"1253300","1863","Carbon labelled urea breath test","Carbon labelled urea breath test"
"1302000","1888","Hyperbaric oxygen therapy, > 90 minutes and <= 3 hours","HBOT > 90 mins & <= 3 hours"
"1302500","1888","Hyperbaric oxygen therapy, more than 3 hours","Hyperbaric oxygen therapy, > 3 hours"
"1310000","1060","Haemodialysis","Haemodialysis"
"1310001","1060","Intermittent haemofiltration","Intermittent haemofiltration"
"1310002","1060","Continuous haemofiltration ","Continuous haemofiltration"
"1310003","1060","Intermittent haemodiafiltration ","Intermittent haemodiafiltration"
"1310004","1060","Continuous haemodiafiltration","Continuous haemodiafiltration"
"1310005","1060","Haemoperfusion","Haemoperfusion"
"1310006","1061","Peritoneal dialysis, short term","Peritoneal dialysis, short term"
"1310007","1061","Intermittent peritoneal dialysis, long term","Intermittent peritonl dialysis long term"
"1310008","1061","Continuous peritoneal dialysis, long term","Continuous peritonl dialysis long term"
"1310400","1063","Education and training for home dialysis","Education & training for home dialysis"
"1310600","764","Thrombectomy of an external arteriovenous shunt","Thrombectomy external AV shunt"
"1310900","1062","Insertion and fixation of indwelling peritoneal catheter for long term peritoneal dialysis","Ins & fix indwel peritonl cath long term"
"1310901","1062","Replacement of indwelling peritoneal catheter for peritoneal dialysis","Replace indwel peritonl cath f dialysis"
"1311000","1062","Removal of indwelling peritoneal catheter for peritoneal dialysis","R/O indwel peritoneal cath for dialysis"
"1311200","1062","Establishment of peritoneal dialysis by abdominal puncture and insertion of temporary catheter","Est dialysis by abdo punct, ins catheter"
"1320000","1297","Assisted reproductive technologies to induce superovulation","Asst reprod technology ind supovulatn"
"1320300","1297","Ovulation monitoring services for artificial insemination","Ovulation monitor for artf insemin"
"1320600","1297","Assisted reproductive technologies to induce oocyte growth and development","Asst reprod induce oocyte growth & devt"
"1320900","1297","Planning and management for assisted reproductive technologies","Plan & mgmt asst reproductive technology"
"1321200","1297","Transvaginal oocyte retrieval","Transvaginal oocyte retrieval"
"1321201","1297","Transabdominal oocyte retrieval","Transabdominal oocyte retrieval"
"1321500","1297","Gamete intrafallopian transfer [GIFT]","Gamete intrafallopian transfer [GIFT]"
"1321501","1297","Embryo transfer to uterus","Embryo transfer to uterus"
"1321502","1297","Embryo transfer to fallopian tube","Embryo transfer to fallopian tube"
"1321503","1297","Other reproductive medicine procedure ","Other reproductive medicine procedure"
"1321800","1297","Fresh, frozen, thawed embryo transfer to uterus","Fresh frozen thawed embryo trnsfr uterus"
"3731500","1112","Urethroscopy ","Urethroscopy"
"1321801","1297","Fresh, frozen, thawed embryo transfer to fallopian tube","Fresh frzn thwd embryo trnsfr, fall tube"
"1321802","1297","Other reproductive medicine procedure ","Other reproductive medicine procedure"
"1322100","1177","Preparation of semen for artificial insemination","Prep semen for artificial insemination"
"1325100","1177","Intracytoplasmic sperm injection","Intracytoplasmic sperm injection"
"1329000","1192","Collection of semen using a device","Collection of semen using a device"
"1329200","1192","Collection of semen using a device under general anaesthetic","Collection of semen with device under GA"
"1330000","738","Catheterisation/cannulation of other vein in neonate","Cath/cannulation other vein in neonate"
"1330001","738","Scalp vein catheterisation/cannulation in neonate","Scalp vein cath/cannulation in neonate"
"1330002","738","Umbilical vein catheterisation/cannulation in neonate","Umbilical vein cath/cannuln in neonate"
"1330300","694","Umbilical artery catheterisation/cannulation in neonate","Umbilical artery cath/cannuln in neonate"
"1330600","1893","Exchange transfusion in infant","Exchange transfusion in infant"
"1331200","1858","Collection of blood for diagnostic purpose in neonate","Collection blood for dx purpose, neonate"
"1331900","738","Central vein catheterisation in neonate","Central vein catheterisation in neonate"
"1340000","1890","Cardioversion","Cardioversion"
"1350000","1899","Gastric hypothermia","Gastric hypothermia"
"1350300","1867","Gastric hypothermia for gastrointestinal haemorrhage","Gastric hypothermia for GI haemorrhage"
"1350600","1899","Gastro-oesophageal balloon tamponade","Gastro-oesophageal balloon tamponade"
"1360000","1886","Perfusion of organ","Perfusion of organ"
"1360300","1886","Whole body perfusion","Whole body perfusion"
"1360600","1880","Cold therapy","Cold therapy"
"1370000","801","Procurement of bone marrow for transplantation","Procurement bone marrow for trnsplnt"
"1370600","802","Allogeneic bone marrow or stem cell transplantation, matched related donor, without in vitro processing","Allo bm/sc trnsplnt rel don wo in vitro"
"1370601","1893","Administration of whole blood","Administration of whole blood"
"1370602","1893","Administration of packed cells","Administration of packed cells"
"1370603","1893","Administration of platelets","Administration of platelets"
"1370604","1893","Administration of leukocytes","Administration of leukocytes"
"1370605","1893","Administration of gamma globulin","Administration of gamma globulin"
"1370606","802","Allogeneic bone marrow or stem cell transplantation, matched related donor, with in vitro processing","Allo bm/sc trnsplnt rel don w in vitro"
"1370607","802","Autologous bone marrow or stem cell transplantation, without in vitro processing","Autolgs bm/stem cel trnsplnt wo in vitro"
"1370608","802","Autologous bone marrow or stem cell transplantation, with in vitro processing","Autolgs bm/stem cell trnsplnt w in vitro"
"1370609","802","Allogeneic bone marrow or stem cell transplantation, other donor, without in vitro processing","Allo bm/sc trnsplnt oth don wo in vitro"
"1370610","802","Allogeneic bone marrow or stem cell transplantation, other donor, with in vitro processing","Allo bm/sc trnsplnt oth don w in vitro"
"1370900","1891","Collection of blood for transfusion","Collection of blood for transfusion"
"1375000","1892","Therapeutic plasmapheresis","Therapeutic plasmapheresis"
"1375001","1892","Therapeutic leukopheresis","Therapeutic leukopheresis"
"1375002","1892","Therapeutic erythropheresis","Therapeutic erythropheresis"
"1375003","1892","Therapeutic plateletpheresis","Therapeutic plateletpheresis"
"1375004","1892","Apheresis of stem cells","Apheresis of stem cells"
"1375005","1892","Apheresis of stem cells with cryopreservation","Apheresis stem cells w cryopreservation"
"1375006","1892","Other therapeutic haemapheresis","Other therapeutic haemapheresis"
"1375500","1892","Donor haemapheresis","Donor haemapheresis"
"1375700","725","Therapeutic venesection","Therapeutic venesection"
"1375701","725","Venous cutdown","Venous cutdown"
"1376000","1891","In vitro processing of bone marrow or peripheral blood for autologous stem cell transplantation","In vitro proces bone marrow/perph bl"
"1381500","738","Central vein catheterisation","Central vein catheterisation"
"1381501","738","Percutaneous central vein catheterisation","Perc central vein catheterisation"
"1381800","657","Insertion of right heart balloon catheter for monitoring","Ins R heart balloon catheter for monitor"
"1383000","1","Monitoring of intracranial pressure","Monitoring of intracranial pressure"
"1383900","1858","Collection of blood for diagnostic purposes","Collection blood for dx purposes"
"1383901","1858","Petrosal sampling","Petrosal sampling"
"1383902","1858","Adrenal vein sampling","Adrenal vein sampling"
"1384200","1858","Intra-arterial cannulation for blood gas analysis","Intra-arterial cannuln, blood gas anlys"
"1385100","1890","Management of circulatory support device","Management circulatory support device"
"1385700","569","Continuous ventilatory support, initiation outside of intensive care unit","Contin ventilatory sup initn outside ICU"
"1387900","569","Continuous ventilatory support, initiation in intensive care unit","Contin ventilatory sup initiation in ICU"
"1388200","569","Management of continuous ventilatory support, <= 24 hours","Mgmt contin ventilatory sup <= 24 hours"
"1388201","569","Management of continuous ventilatory support, more than 24 hours and less than 96 hours","Mgmt contin ventilatry sup > 24 < 96 hr"
"1388202","569","Management of continuous ventilatory support, 96 hours or more","Mgmt contin ventilatory sup >= 96 hours"
"1391500","1780","Chemotherapy, intravenous administration <= 1 hours duration","Chemotherapy, IV admin <=1 hour"
"1391800","1780","Chemotherapy, intravenous administration > 1 hours duration and <= 6 hours duration","Chemotherapy, IV, >1 & <= 6 hr duration"
"1392100","1780","Chemotherapy, intravenous administration > 6 hours duration","Chemotherapy, IV > 6 hours duration"
"1392700","1780","Chemotherapy, intra-arterial administration","Chemotherapy, intra-arterial admin"
"1393900","1921","Loading of implantable infusion device or pump","Loading implantable infusion dev / pump"
"1393901","766","Maintenance (alone) of implantable infusion device or pump","Maintenance implantable infus dev/pump"
"1393902","1922","Maintenance (alone) of vascular access device","Maintenance alone vascular access device"
"1394200","1921","Loading of ambulatory drug delivery device","Loading ambulatory drug delivery device"
"1394201","766","Maintenance (alone) of ambulatory drug delivery device","Maintenance ambulatory drug delivery dev"
"1394202","1922","Maintenance (alone) of drug delivery device","Maintenance alone drug delivery device"
"1394800","1784","Instillation of cytotoxic agent into bladder","Instill of cytotoxic agent into bladder"
"1394801","1784","Instillation of cytotoxic agent into pleural cavity","Instill of cytotoxic into pleura cavity"
"1394802","1784","Instillation of cytotoxic agent into peritoneal cavity","Instill cytotoxic into peritoneal cavity"
"1394803","1784","Instillation of cytotoxic agent into subarachnoid space","Instill cytotox agent, subarachnoid spc"
"1394804","1784","Instillation of cytotoxic agent into other body cavity","Instill cytotoxic into other body cavity"
"1405000","1609","Psoralens and ultraviolet A therapy of other site","Psoralens & UV A therapy of other site"
"1405001","1610","Ultraviolet B therapy of other site","Ultraviolet B therapy of other site"
"1405002","1610","Narrow band ultraviolet B therapy of other site","Narrow band UV B therapy, other site"
"1405300","1609","Psoralens and ultraviolet A therapy of hand","Psoralens & ultraviolet A therapy, hand"
"1405301","1609","Psoralens and ultraviolet A therapy of foot","Psoralens & ultraviolet A therapy, foot"
"1405302","1609","Psoralens and ultraviolet A therapy of hand and foot","Psoralens & UV A therapy of hand & foot"
"1405303","1610","Ultraviolet B therapy of hand","Ultraviolet B therapy of hand"
"1405304","1610","Ultraviolet B therapy of foot","Ultraviolet B therapy of foot"
"1405305","1610","Ultraviolet B therapy of hand and foot","Ultraviolet B therapy of hand and foot"
"1405306","1610","Narrow band ultraviolet B of hand","Narrow band ultraviolet B of hand"
"1405307","1610","Narrow band ultraviolet B of foot","Narrow band ultraviolet B of foot"
"1405308","1610","Narrow band ultraviolet B of hand and foot","Narrow band ultraviolet B of hand & foot"
"1410000","744","Laser photocoagulation of cutaneous vascular lesions, continuous laser, individual blood vessels","Laser photcoag continuous, blood vessels"
"1410600","744","Laser photocoagulation of cutaneous vascular lesions, pulsed laser, extensive area","Laser photcoag pulsed vasc lesions"
"1410601","744","Laser photocoagulation of cutaneous vascular lesions, pulsed laser, extensive area, under general anaesthesia","Laser photcoag pulsed vasc lesions w GA"
"1420000","1895","Gastric lavage","Gastric lavage"
"1420300","1906","Direct subdermal hormone implantation","Direct subdermal hormone implantation"
"1420301","1906","Direct living tissue implantation","Direct living tissue implantation"
"1420600","1906","Hormone implantation by cannula","Hormone implantation by cannula"
"1420601","1906","Living tissue implantation by cannula","Living tissue implantation by cannula"
"1421200","1898","Fluid reduction of intussusception","Fluid reduction of intussusception"
"1421201","1898","Gas reduction of intussusception","Gas reduction of intussusception"
"1421500","889","Revision of gastric band","Revision of gastric band"
"1421501","889","Adjustment of gastric band reservoir","Adjustment of gastric band reservoir"
"1500000","1786","Radiation treatment, superficial, 1 field","Radiation treatment superficial, 1 field"
"1500300","1786","Radiation treatment, superficial, >= 2 fields","Radiation Rx superficial >= 2 fields"
"1501200","1794","Brachytherapy, eye","Brachytherapy, eye"
"1501201","1794","Brachytherapy, eye, using scleral plaque","Brachytherapy, eye, using scleral plaque"
"1510000","1787","Radiation treatment, orthovoltage, 1 field","Radiation Rx, orthovoltage, 1 field"
"1510300","1787","Radiation treatment, orthovoltage, >= 2 fields","Radiation Rx, orthovoltage, >= 2 fields"
"1520300","1788","Radiation treatment, megavoltage, 1 field, single modality linear accelerator","Radiation Rx mgvlt 1fld sgl modlty linac"
"1520400","1788","Radiation treatment, megavoltage, >= 2 fields, single modality linear accelerator","Radiat Rx mgvlt >=2 fld sgl modlty linac"
"1520700","1788","Radiation treatment, megavoltage, 1 field, dual modality linear accelerator","Radiat Rx mgvlt 1field dual modlty linac"
"1520800","1788","Radiation treatment, megavoltage, >= 2 fields, dual modality linear accelerator","Radiat Rx mgvlt >=2fld dual modlty linac"
"1522400","1788","Radiation treatment, megavoltage, 1 field, single modality linear accelerator","Radiation Rx mgvlt 1fld sgl modlty linac"
"1523900","1788","Radiation treatment, megavoltage, >= 2 fields, single modality linear accelerator","Radiat mgvlt >= 2 fld sgl modlty linac"
"1525400","1788","Radiation treatment, megavoltage, 1 field, dual modality linear accelerator","Radiat Rx mgvlt 1field dual modlty linac"
"1526900","1788","Radiation treatment, megavoltage, >= 2 fields, dual modality linear accelerator","Radiat mgvlt >= 2 fld dual modlty linac"
"1530300","1790","Brachytherapy, intrauterine, low dose rate","Brachytherapy IU low dose rate"
"1530400","1790","Brachytherapy, intrauterine, high dose rate","Brachythrpy intrauterine high dose rate"
"1531100","1790","Brachytherapy, intravaginal, low dose rate","Brachytherapy intravaginal low dose rate"
"1531200","1790","Brachytherapy, intravaginal, high dose rate","Brachythrpy intravaginal high dose rate"
"1531900","1790","Brachytherapy, combined intrauterine and intravaginal, low dose rate","Brachytherapy IU & intravaginal low dose"
"1532000","1790","Brachytherapy, combined intrauterine and intravaginal, high dose rate","Brachytherapy IU & intravaginal high ds"
"1532700","1792","Brachytherapy with implantation of removable single plane, low dose rate","Brachythrpy impl remv sgl plane low dose"
"1532701","1792","Brachytherapy with implantation of removable single plane, pulsed dose rate","Brachythrpy impl remv sgl plane pulsd ds"
"1532702","1792","Brachytherapy with implantation of removable multiple planes or volume implant, low dose rate","Brachythrpy impl mult plane/vol low dose"
"1532703","1792","Brachytherapy with implantation of removable multiple planes or volume implant, pulsed dose rate","Brachythrpy impl mult plane/vol pulsd ds"
"1532704","1792","Brachytherapy with implantation of permanent implant, < 10 sources","Brachythrpy w impl perm impl <10 sources"
"1532705","1792","Brachytherapy with implantation of permanent implant, >= 10 sources","Brachythrpy, impl perm impl >=10 sources"
"1532706","1792","Brachytherapy with implantation of removable single plane, high dose rate","Brachythrpy impl remv sgl plane high ds"
"1532707","1792","Brachytherapy with implantation of removable multiple planes or volume implant, high dose rate","Brachythrpy impl mult plane vol high ds"
"1533800","1792","Brachytherapy, prostate","Brachythrpy, prostate"
"1533900","1793","Removal of sealed radioactive source","R/O sealed radioactive source"
"1534200","1796","Construction and application of radioactive surface mould","Construct applicn radioactive surf mould"
"1535100","1796","Construction and application of eye applicator","Construction & applicn of eye applicator"
"1536000","1792","Brachytherapy, intravascular","Brachytherapy, intravascular"
"1550000","1798","Radiation field setting using simulator, simple","Radiation field setg usg simultr simple"
"1550300","1798","Radiation field setting using simulator, intermediate","Radiation field setg usg simultr intrmed"
