"procedure_code","procedure_desc"
3847700,"Mitral valve annuloplasty with ring insertion"
3151801,"Simple mastectomy, bilateral"
4970900,"Stabilisation of ankle"
5020000,"Biopsy of bone, not elsewhere classified"
4760001,"Open reduction of fracture of ankle with internal fixation of diastasis, fibula or malleolus"
3144100,"Revision of gastric band reservoir"
3874202,"Closure of atrial septal defect"
4840612,"Total ostectomy of rib"
4910002,"Release of elbow contracture"
4033200,"Decompression of cervical spinal cord with anterior fusion, 1 level"
3056600,"Resection of small intestine with anastomosis"
9334100,"Electroconvulsive therapy [ECT], unspecified number of treatments"
3684002,"Endoscopic resection of a single lesion of bladder <= 2 cm or tissue of bladder"
4272201,"Removal of vitreous with division of vitreal bands"
4280100,"Implantation of brachytherapy applicator, eye"
3003500,"Repair of wound of skin and subcutaneous tissue of face or neck, involving soft tissue"
9030400,"Other repair of stomach"
3038201,"Percutaneous repair of enterocutaneous fistula of small intestine"
9555012,"Allied health intervention, pastoral care"
3250800,"Interruption of sapheno-femoral junction varicose veins"
9555010,"Allied health intervention, psychology"
9334105,"Electroconvulsive therapy [ECT], 5 treatments"
4177600,"Cricopharyngeal myotomy"
3760102,"Excision of epididymal cyst, unilateral"
1220300,"Polysomnography"
3200303,"Laparoscopic right hemicolectomy with anastomosis"
3960000,"Drainage of intracranial haemorrhage"
9066500,"Excisional debridement of skin and subcutaneous tissue"
1311000,"Removal of indwelling peritoneal catheter for peritoneal dialysis"
9610400,"Music therapy"
4181900,"Other endoscopic dilation of oesophagus"
1340000,"Cardioversion"
3155100,"Incision and drainage of breast"
4792100,"Insertion of internal fixation device, not elsewhere classified"
3047602,"Endoscopic banding of oesophageal varices"
9095200,"Incision of abdominal wall"
3061700,"Repair of umbilical hernia"
4263500,"Repair of corneal perforation by sealing"
3911800,"Percutaneous neurotomy for facet joint denervation by radiofrequency"
9619800,"Intrathecal administration of pharmacological agent, antineoplastic agent"
3019500,"Curettage of lesion of skin, single lesion"
4556301,"Island flap with neurovascular pedicle"
9068601,"Nonexcisional debridement of skin and subcutaneous tissue"
3481200,"Other vein bypass using vein"
3044000,"Percutaneous transhepatic cholangiography"
3005202,"Repair of wound of lip"
5990300,"Left ventriculography"
9334106,"Electroconvulsive therapy [ECT], 6 treatments"
3828501,"Revision of subcutaneously implanted monitoring device"
3002900,"Repair of wound of skin and subcutaneous tissue of other site, involving soft tissue"
4700900,"Closed reduction of dislocation of shoulder"
4745901,"Open reduction of fracture of distal humerus with internal fixation"
9002401,"Decompression of lumbar spinal canal, >= 2 levels"
4183200,"Endoscopic balloon dilation of oesophagus"
3123000,"Excision of lesion(s) of skin and subcutaneous tissue of eyelid"
4265000,"Epithelial debridement of cornea"
4840004,"Ostectomy of metatarsal bone"
3215300,"Dilation of anus"
4955700,"Arthroscopy of knee"
3842402,"Pleurodesis"
3870001,"Closure of patent ductus arteriosus"
9046500,"Medical induction of labour, oxytocin"
3008400,"Percutaneous biopsy of bone marrow"
1370608,"Autologous bone marrow or stem cell transplantation, with in vitro processing"
3874500,"Intra-atrial transposition of venous return"
4578503,"Total cranial vault reconstruction "
3066300,"Control of haemorrhage following male circumcision"
9022500,"Extracorporeal membrane oxygenation [ECMO]"
4750100,"Open reduction of fracture of acetabulum with internal fixation"
3842400,"Pleurectomy"
3682103,"Endoscopic replacement of ureteric stent"
3061400,"Repair of femoral hernia, unilateral"
3200500,"Subtotal colectomy with anastomosis"
3060902,"Laparoscopic repair of inguinal hernia, unilateral"
1331900,"Central vein catheterisation in neonate"
4648600,"Primary repair of nail or nail bed"
9214900,"Administration of diphtheria-tetanus-pertussis, combined"
9020903,"Direct closure of other artery"
9055900,"Arthrodesis of toe"
3970900,"Removal of lesion of cerebrum"
4703900,"Open reduction of dislocation of interphalangeal joint of hand"
3760700,"Radical excision of retroperitoneal lymph nodes"
4736300,"Closed reduction of fracture of distal radius"
4971200,"Arthrodesis of ankle"
4173703,"Ethmoidectomy, bilateral"
9058000,"Debridement of open fracture site"
4552201,"Reduction mammoplasty, bilateral"
4953901,"Reconstruction of knee"
3650300,"Kidney transplantation"
3683301,"Endoscopic removal of ureteric stent"
4566502,"Full thickness wedge excision of ear"
3056500,"Resection of small intestine with formation of stoma"
3960300,"Removal of intracranial haematoma via osteoplastic craniotomy"
3830601,"Percutaneous insertion of >= 2 transluminal stents into single coronary artery"
9618100,"Art therapy"
4983300,"Correction of hallux valgus by osteotomy of first metatarsal, unilateral"
3151800,"Simple mastectomy, unilateral"
4154500,"Mastoidectomy"
3008700,"Aspiration biopsy of bone marrow"
3652800,"Laparoscopic radical nephrectomy"
3143500,"Radical excision of lymph nodes of neck"
3971203,"Removal of intraventricular lesion"
4742901,"Open reduction of fracture of proximal humerus with internal fixation"
3835302,"Removal of cardiac pacemaker generator"
4866900,"Anterior spinal fusion, 2 or more levels"
4953401,"Total replacement arthroplasty of patellofemoral joint of knee"
9016900,"Endoscopic wedge resection of lung"
3049000,"Endoscopic insertion of oesophageal prosthesis"
9334115,"Electroconvulsive therapy [ECT], 15 treatments"
4730601,"Open reduction of fracture of distal phalanx of hand with internal fixation"
9048200,"Manual removal of placenta"
3029601,"Total thyroidectomy"
3900000,"Lumbar puncture"
9002800,"Epidural injection of steroid"
1375000,"Therapeutic plasmapheresis"
3202400,"High anterior resection of rectum"
3684504,"Endoscopic resection of a single lesion of bladder > 2 cm in diameter"
4180100,"Adenoidectomy without tonsillectomy"
4761801,"Open reduction of intra-articular fracture of calcaneum with internal fixation"
4950301,"Patellofemoral stabilisation"
3562200,"Endoscopic endometrial ablation"
3033600,"Radical excision of lymph nodes of axilla"
9620207,"Enteral administration of pharmacological agent, nutritional substance"
9612900,"Exercise therapy, total body"
4738101,"Closed reduction of fracture of shaft of ulna"
3037519,"Other repair of small intestine"
3311500,"Replacement of infrarenal abdominal aortic aneurysm with tube graft"
3048501,"Endoscopic sphincterotomy with extraction of calculus from common bile duct"
4642000,"Primary repair of extensor tendon of hand"
3850002,"Coronary artery bypass, using 1 radial artery graft"
4754901,"Open reduction of fracture of medial or lateral tibial plateau with internal fixation"
3276319,"Popliteal-tibial bypass using synthetic material"
9045200,"Excision of other lesion of uterus"
4520601,"Local skin flap of nose"
3051102,"Laparoscopic adjustable gastric banding [LAGB]"
4269802,"Extracapsular extraction of crystalline lens by phacoemulsification and aspiration of cataract"
1310002,"Continuous haemofiltration "
4933000,"Revision of total arthroplasty of hip with bone graft to femur"
5011500,"Manipulation/mobilisation of joint, not elsewhere classified"
3533001,"Open insertion of inferior vena cava filter"
3653100,"Laparoscopic nephroureterectomy"
3208400,"Fibreoptic colonoscopy to hepatic flexure"
3058300,"Distal pancreatectomy"
3134000,"Excision of muscle, bone or cartilage involved with lesion of skin"
9603700,"Other assessment, consultation or evaluation"
1370606,"Allogeneic bone marrow or stem cell transplantation, matched related donor, with in vitro processing"
3856202,"Replacement of aortic arch and ascending thoracic aorta with aortic valve repair"
3651604,"Laparoscopic complete nephrectomy for transplantation, living donor"
3313600,"Repair of false aneurysm at aortic anastomosis following previous aortic surgery"
4188100,"Open tracheostomy, temporary"
4953300,"Revision of total arthroplasty of knee with bone graft to femur and tibia"
4950001,"Arthrotomy of knee"
3565700,"Vaginal hysterectomy"
9221100,"Management of combined ventilatory support, >= 96 hours"
9203600,"Insertion of nasogastric tube"
3563811,"Laparoscopic salpingo-oophorectomy, unilateral "
3828500,"Insertion of subcutaneously implanted monitoring device"
9023500,"Embolectomy or thrombectomy of intracranial artery"
1525400,"Radiation treatment, megavoltage, 1 field, dual modality linear accelerator"
3045102,"Endoscopic replacement of biliary stent"
4436702,"Amputation below knee"
4740201,"Open reduction of fracture of olecranon with partial ostectomy of olecranon fragment and internal fixation"
5511800,"2 dimensional real time transoesophageal ultrasound of heart"
3044800,"Laparoscopic cholecystectomy with exploration of common bile duct via cystic duct"
9002400,"Decompression of lumbar spinal canal, 1 level"
4740801,"Open reduction of fracture of radial head or neck with internal fixation"
9014101,"Excision of other lesion of mouth"
3559900,"Sling procedure for stress incontinence, female"
1370603,"Administration of platelets"
4734201,"Open reduction of fracture of metacarpus with internal fixation"
4000302,"Insertion of ventriculoperitoneal shunt"
3047820,"Panendoscopy to duodenum with other coagulation"
3913401,"Insertion of subcutaneously implanted neurostimulator"
3850302,"Coronary artery bypass, using >= 2 radial artery grafts"
3839301,"Replacement of cardiac defibrillator generator"
4865401,"Posterolateral spinal fusion with laminectomy, 1 level"
4739301,"Open reduction of fracture of shaft of radius and ulna with internal fixation"
3845603,"Other procedures on chest wall, mediastinum or diaphragm, intrathoracic approach"
4776801,"Open reduction of fracture of zygomatic bone with internal fixation, 2 sites"
3827001,"Percutaneous balloon aortic valvuloplasty"
3848900,"Replacement of aortic valve with homograft"
4984500,"Arthrodesis of first metatarsophalangeal joint"
3202600,"Ultra low anterior resection of rectum"
9004700,"Aspiration of thyroid"
5011800,"Arthrodesis of subtalar joint"
9732205,"Surgical removal of 5 - 9 teeth not requiring removal of bone or tooth division"
3007100,"Biopsy of skin and subcutaneous tissue"
9017100,"Endoscopic pleurodesis"
9095900,"Excision of other lesion of large intestine"
3045103,"Endoscopic removal of biliary stent"
9033800,"Incision of rectum or anus"
3041400,"Excision of lesion of liver"
3564700,"Large loop excision of transformation zone [LLETZ]"
3067601,"Excision of pilonidal sinus or cyst"
3704400,"Retropubic procedure for stress incontinence, male"
3060000,"Repair of traumatic diaphragmatic hernia"
4549600,"Open revision of free tissue flap"
3047821,"Panendoscopy to ileum with other coagulation"
4176400,"Nasendoscopy"
3203300,"Restoration of bowel continuity after Hartmann's procedure"
3875700,"Creation of extracardiac conduit between right ventricle and pulmonary artery"
9046600,"Medical augmentation after onset of labour"
4630300,"Arthrodesis of carpometacarpal joint"
3051109,"Laparoscopic sleeve gastrectomy [LSG]"
5010600,"Joint stabilisation, not elsewhere classified"
3315400,"Replacement of ruptured infrarenal abdominal aortic aneurysm with tube graft"
3930000,"Primary repair of nerve"
4796302,"Repair of tendon of hand, not elsewhere classified"
4895100,"Arthroscopic decompression of subacromial space"
3057100,"Appendicectomy"
3656100,"Closed biopsy of kidney"
4273101,"Extraction of crystalline lens by posterior chamber sclerotomy with removal of vitreous"
4954201,"Reconstruction of cruciate ligament of knee with repair of meniscus"
4736302,"Closed reduction of fracture of distal radius with internal fixation"
4433800,"Amputation of toe"
3047804,"Panendoscopy to duodenum with excision of lesion"
3040300,"Repair of incisional hernia"
3780300,"Orchidopexy for undescended testis, unilateral"
3022303,"Incision and drainage of abscess of soft tissue"
4864200,"Posterior spinal fusion, 1 or 2 levels"
3848800,"Replacement of aortic valve with mechanical prosthesis"
9617500,"Mental/behavioural assessment"
9555008,"Allied health intervention, prosthetics and orthotics"
3855602,"Replacement of ascending thoracic aorta with aortic valve repair and implantation of coronary arteries"
3037529,"Temporary ileostomy"
3570300,"Test for tubal patency"
4891500,"Hemiarthroplasty of shoulder"
3062800,"Percutaneous aspiration of hydrocele"
3203600,"Excision of presacral lesion"
3530306,"Percutaneous transluminal balloon angioplasty"
3451500,"Thrombectomy of arteriovenous fistula"
5012400,"Aspiration of joint or other synovial cavity, not elsewhere classified"
4550000,"Microsurgical repair of artery of distal extremity or digit"
4922400,"Arthroscopic debridement of wrist"
3830000,"Percutaneous transluminal balloon angioplasty of 1 coronary artery"
4558400,"Liposuction"
9200300,"Alcohol detoxification"
4840616,"Ostectomy of tarsal bone"
4893000,"Stabilisation of shoulder"
4895700,"Arthroscopic stabilisation of shoulder"
3051104,"Adjustable gastric banding [AGB]"
3821801,"Coronary angiography with right heart catheterisation"
9731102,"Removal of 2 teeth or part(s) thereof"
3214200,"Excision of anal skin tag"
5061601,"Revision of spinal procedure with removal of spinal fixation"
4863900,"Excision of vertebra"
4033000,"Spinal rhizolysis"
3056201,"Closure of ileostomy with restoration of bowel continuity, without resection"
1330000,"Catheterisation/cannulation of other vein in neonate"
1656401,"Postpartum evacuation of uterus by suction curettage"
4956600,"Arthroscopic synovectomy of knee"
5997003,"Peripheral arteriography"
4894801,"Arthroscopic removal of loose body of shoulder"
3562300,"Myomectomy of uterus via hysteroscopy"
4181600,"Rigid oesophagoscopy"
3123501,"Excision of lesion(s) of skin and subcutaneous tissue of neck"
3567302,"Vaginal hysterectomy with removal of adnexa"
9732204,"Surgical removal of 4 teeth not requiring removal of bone or tooth division"
3722700,"Implantation of brachytherapy applicator, prostate"
9609500,"Therapeutic diet support"
9200200,"Alcohol rehabilitation"
9610100,"Cognitive behaviour therapy [CBT]"
9334108,"Electroconvulsive therapy [ECT], 8 treatments"
4393000,"Pyloromyotomy"
4158400,"Partial resection of temporal bone with mastoidectomy"
1101801,"Conduction studies on >= 4 nerves with electromyography"
9618500,"Supportive psychotherapy, not elsewhere classified"
3550300,"Insertion of intrauterine device [IUD]"
3144101,"Removal of gastric band reservoir"
4796900,"Tenosynovectomy, not elsewhere classified"
4033300,"Cervical discectomy, 1 level"
9555006,"Allied health intervention, audiology"
3005203,"Repair of wound of nose"
1172700,"Testing of cardiac defibrillator"
3555700,"Excision of lesion of vagina"
4544807,"Small split skin graft of finger"
3451800,"Repair of surgically created arteriovenous fistula"
3022301,"Incision and drainage of abscess of skin and subcutaneous tissue"
4033500,"Decompression of cervical spinal cord with anterior fusion, 2 or more levels"
3007537,"Biopsy of peritoneum"
9334110,"Electroconvulsive therapy [ECT], 10 treatments"
4932400,"Revision of total arthroplasty of hip"
3056202,"Closure of loop colostomy "
9220800,"Anterior resection of rectum, level unspecified"
3201200,"Total colectomy with ileorectal anastomosis"
4793600,"Excision of exostosis of large bone"
9046200,"Insertion of prostaglandin suppository for induction of abortion"
4892100,"Revision of total arthroplasty of shoulder"
3009300,"Needle biopsy of vertebra"
3855303,"Replacement of ascending thoracic aorta with aortic valve replacement"
3200600,"Left hemicolectomy with anastomosis"
4983800,"Correction of hallux valgus by osteotomy of first metatarsal and transfer of adductor hallucis tendon, bilateral"
4936600,"Arthroscopic removal of loose body from hip"
3848001,"Repair of mitral valve, 1 leaflet"
3155400,"Microdochotomy of breast"
4733001,"Open reduction of fracture of proximal phalanx of hand with internal fixation"
5033300,"Excision of tarsal coalition"
1522400,"Radiation treatment, megavoltage, 1 field, single modality linear accelerator"
9752201,"Adhesive restoration of anterior tooth, 2 surfaces, direct"
9334101,"Electroconvulsive therapy [ECT], 1 treatment"
9608000,"Counselling or education on preparing for parenthood, parenting skills or family planning"
3056303,"Repair of parastomal hernia with resiting of stoma"
4773800,"Closed reduction of fracture of nasal bone"
3022300,"Incision and drainage of haematoma of skin and subcutaneous tissue"
3142300,"Excision of lymph node of neck"
3380608,"Embolectomy or thrombectomy of iliac artery"
3042100,"Trisegmental resection of liver"
4186400,"Microlaryngoscopy with removal of lesion"
4167700,"Arrest of anterior nasal haemorrhage by packing and/or cauterisation"
4255400,"Repair of perforating wound of eyeball involving uveal tissue"
9033700,"Other stenting of biliary tract"
3052700,"Fundoplasty, laparoscopic approach"
9615300,"Hydrotherapy"
3041100,"Intraoperative biopsy of liver"
4503300,"Excision of vascular anomaly of skin and subcutaneous tissue or mucous surface, large"
9029600,"Endoscopic control of peptic ulcer or bleeding"
1310900,"Insertion and fixation of indwelling peritoneal catheter for long term peritoneal dialysis"
3024100,"Excision of lesion of bone, not elsewhere classified"
3029702,"Thyroidectomy following previous thyroid surgery"
3200501,"Extended right hemicolectomy with anastomosis"
3651901,"Complete nephrectomy for removal of transplanted kidney"
9090100,"Magnetic resonance imaging of brain"
4865701,"Posterolateral spinal fusion with laminectomy, 2 or more levels"
3007500,"Biopsy of lymph node"
4030300,"Discectomy for recurrent disc lesion, 1 level"
3061402,"Repair of inguinal hernia, unilateral"
3721201,"Drainage of abscess of prostate"
3564303,"Dilation and evacuation of uterus [D&E]"
1651200,"Removal of cervical suture"
3007525,"Biopsy of tonsils and adenoids"
4163200,"Myringotomy with insertion of tube, unilateral"
1600900,"Administration of a therapeutic dose of Iodine 131"
4956300,"Arthroscopic repair of meniscus of knee"
4185500,"Microlaryngoscopy"
3970300,"Biopsy of brain via burr holes"
3047802,"Panendoscopy to duodenum with heater probe coagulation"
