"diag_code","diag_desc"
"I472","Ventricular tachycardia"
"F314","Bipolar affective disorder, current episode severe depression without psychotic symptoms"
"N508","Other specified disorders of male genital organs"
"M6005","Infective myositis, pelvic region and thigh"
"N40","Hyperplasia of prostate"
"I269","Pulmonary embolism without mention of acute cor pulmonale"
"C713","Malignant neoplasm of parietal lobe"
"C184","Malignant neoplasm of transverse colon"
"I620","Subdural haemorrhage (acute)(nontraumatic)"
"M8415","Nonunion of fracture [pseudarthrosis], pelvic region and thigh"
"F319","Bipolar affective disorder, unspecified"
"R260","Ataxic gait"
"M9071","Fracture of bone in neoplastic disease, shoulder region (C00-D48+)"
"T8571","Infection and inflammatory reaction due to peritoneal dialysis catheter"
"C19","Malignant neoplasm of rectosigmoid junction"
"M1097","Gout, unspecified, ankle and foot"
"S0621","Diffuse cerebral contusions"
"K229","Disease of oesophagus, unspecified"
"G951","Vascular myelopathies"
"C210","Malignant neoplasm of anus, unspecified"
"I469","Cardiac arrest, unspecified"
"K830","Cholangitis"
"M8098","Unspecified osteoporosis with pathological fracture, other site"
"S8282","Trimalleolar fracture, ankle"
"Z508","Care involving use of other rehabilitation procedures"
"K429","Umbilical hernia without obstruction or gangrene"
"S760","Injury of muscle and tendon of hip"
"S7200","Fracture of neck of femur, part unspecified"
"H168","Other keratitis"
"C9200","Acute myeloblastic leukaemia [AML], without mention of remission"
"D123","Benign neoplasm of transverse colon"
"D70","Agranulocytosis"
"S0141","Open wound of cheek"
"S510","Open wound of elbow"
"T828","Other specified complications of cardiac and vascular prosthetic devices, implants and grafts"
"T793","Post traumatic wound infection, not elsewhere classified"
"R590","Localised enlarged lymph nodes"
"I830","Varicose veins of lower extremities with ulcer"
"I420","Dilated cardiomyopathy"
"Z452","Adjustment and management of vascular access device"
"F431","Post traumatic stress disorder"
"T851","Mechanical complication of implanted electronic stimulator of nervous system"
"E1472","Unspecified diabetes mellitus with features of insulin resistance"
"S0188","Open wound of other parts of head"
"D351","Benign neoplasm of parathyroid gland"
"N850","Endometrial glandular hyperplasia"
"S4301","Anterior dislocation of humerus"
"I501","Left ventricular failure"
"K852","Alcohol-induced acute pancreatitis"
"S4241","Supracondylar fracture of humerus"
"C155","Malignant neoplasm of lower third of oesophagus"
"M4806","Spinal stenosis, lumbar region"
"K918","Other postprocedural disorders of digestive system, not elsewhere classified"
"R042","Haemoptysis"
"H160","Corneal ulcer"
"N993","Prolapse of vaginal vault after hysterectomy"
"T842","Mechanical complication of internal fixation device of other bones"
"M8697","Unspecified osteomyelitis, ankle and foot"
"C719","Malignant neoplasm of brain, unspecified"
"K624","Stenosis of anus and rectum"
"C9000","Multiple myeloma, without mention of remission"
"B59","Pneumocystosis (J17.3*)"
"N801","Endometriosis of ovary"
"Z092","Follow-up examination after pharmacotherapy for other conditions"
"J459","Asthma, unspecified"
"M170","Primary gonarthrosis, bilateral"
"C450","Mesothelioma of pleura"
"K20","Oesophagitis"
"O441","Placenta praevia with haemorrhage"
"M169","Coxarthrosis, unspecified"
"C830","Small cell B-cell lymphoma"
"C831","Mantle cell lymphoma"
"Q262","Total anomalous pulmonary venous connection"
"Q7502","Sagittal craniosynostosis"
"D67","Hereditary factor IX deficiency"
"S311","Open wound of abdominal wall"
"K508","Other Crohn's disease"
"B012","Varicella pneumonia"
"S2731","Contusion and haematoma of lung"
"B3781","Candidal oesophagitis"
"C180","Malignant neoplasm of caecum"
"B259","Cytomegaloviral disease, unspecified"
"F051","Delirium superimposed on dementia"
"K419","Unilateral or unspecified femoral hernia, without obstruction or gangrene"
"L892","Stage III decubitus ulcer and pressure area"
"K6358","Other polyp of colon"
"K4090","Unilateral or unspecified inguinal hernia, without obstruction or gangrene, not specified as recurrent"
"M4807","Spinal stenosis, lumbosacral region"
"C780","Secondary malignant neoplasm of lung"
"P77","Necrotising enterocolitis of fetus and newborn"
"Z273","Need for immunisation against diphtheria-tetanus-pertussis with poliomyelitis [DTP + polio]"
"K912","Postprocedural malabsorption, not elsewhere classified"
"S655","Injury of blood vessel(s) of other finger"
"C349","Malignant neoplasm of bronchus or lung, unspecified"
"M2117","Varus deformity, not elsewhere classified, ankle and foot"
"C711","Malignant neoplasm of frontal lobe"
"S6312","Dislocation of interphalangeal (joint), hand"
"C772","Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes"
"A4150","Sepsis due to unspecified Gram-negative organisms"
"K625","Haemorrhage of anus and rectum"
"S270","Traumatic pneumothorax"
"T511","Methanol"
"C787","Secondary malignant neoplasm of liver and intrahepatic bile duct"
"J310","Chronic rhinitis"
"M1096","Gout, unspecified, lower leg"
"G122","Motor neuron disease"
"S323","Fracture of ilium"
"S561","Injury of long flexor muscle and tendon of other finger(s) at forearm level"
"Z411","Other plastic surgery for unacceptable cosmetic appearance"
"M2353","Chronic instability, medial collateral ligament or other and unspecified medial meniscus"
"D500","Iron deficiency anaemia secondary to blood loss (chronic)"
"S7208","Fracture of other parts of neck of femur"
"E835","Disorders of calcium metabolism"
"N185","Chronic kidney disease, stage 5"
"J323","Chronic sphenoidal sinusitis"
"M2591","Unspecified joint disorder, shoulder region"
"N133","Other and unspecified hydronephrosis"
"S549","Injury of unspecified nerve at forearm level"
"D042","Carcinoma in situ of skin of ear and external auricular canal"
"K509","Crohn's disease, unspecified"
"I208","Other forms of angina pectoris"
"R268","Other and unspecified abnormalities of gait and mobility"
"M5496","Unspecified dorsalgia, lumbar region"
"T838","Other complications of genitourinary prosthetic devices, implants and grafts"
"F209","Schizophrenia, unspecified"
"J958","Other postprocedural respiratory disorders"
"S010","Open wound of scalp"
"S526","Fracture of lower end of both ulna and radius"
"H259","Senile cataract, unspecified"
"M201","Hallux valgus (acquired)"
"C844","Peripheral T-cell lymphoma, not elsewhere classified"
"Q2113","Ostium secundum defect"
"H709","Mastoiditis, unspecified"
"C64","Malignant neoplasm of kidney, except renal pelvis"
"C221","Intrahepatic bile duct carcinoma"
"S4220","Fracture of upper end of humerus, part unspecified"
"M4852","Collapsed vertebra, not elsewhere classified, cervical region"
"N835","Torsion of ovary, ovarian pedicle and fallopian tube"
"J329","Chronic sinusitis, unspecified"
"I629","Intracranial haemorrhage (nontraumatic), unspecified"
"K720","Acute and subacute hepatic failure"
"L890","Stage I decubitus ulcer and pressure area"
"F03","Unspecified dementia"
"E611","Iron deficiency"
"N63","Unspecified lump in breast"
"K642","Third degree haemorrhoids"
"O069","Unspecified abortion, complete or unspecified, without complication"
"F250","Schizoaffective disorder, manic type"
"O034","Spontaneous abortion, incomplete, without complication"
"C259","Malignant neoplasm of pancreas, part unspecified"
"C001","Malignant neoplasm of external lower lip"
"C786","Secondary malignant neoplasm of retroperitoneum and peritoneum"
"E052","Thyrotoxicosis with toxic multinodular goitre"
"I601","Subarachnoid haemorrhage from middle cerebral artery"
"L0311","Cellulitis of lower limb"
"J90","Pleural effusion, not elsewhere classified"
"G551","Nerve root and plexus compressions in intervertebral disc disorders (M50-M51+)"
"K221","Ulcer of oesophagus"
"K5722","Diverticulitis of large intestine with perforation and abscess, without mention of haemorrhage"
"M2323","Derangement of other and unspecified medial meniscus due to old tear or injury"
"J151","Pneumonia due to Pseudomonas"
"C791","Secondary malignant neoplasm of bladder and other and unspecified urinary organs"
"H653","Chronic mucoid otitis media"
"S2412","Incomplete cord syndrome of thoracic spinal cord"
"K767","Hepatorenal syndrome"
"C800","Malignant neoplasm, primary site unknown, so stated"
"K704","Alcoholic hepatic failure"
"S5250","Fracture of lower end of radius, unspecified"
"E042","Nontoxic multinodular goitre"
"C773","Secondary and unspecified malignant neoplasm of axillary and upper limb lymph nodes"
"G4730","Sleep apnoea, unspecified"
"P240","Neonatal aspiration of meconium"
"K8040","Calculus of bile duct with cholecystitis, without mention of obstruction"
"S5221","Fracture of proximal shaft of ulna with dislocation of head of radius"
"E512","Wernicke's encephalopathy"
"S121","Fracture of second cervical vertebra"
"O13","Gestational [pregnancy-induced] hypertension"
"D046","Carcinoma in situ of skin of upper limb, including shoulder"
"E1011","Type 1 diabetes mellitus with ketoacidosis, without coma"
"S663","Injury of extensor muscle and tendon of other finger at wrist and hand level"
"S8211","Fracture of upper end of tibia with fracture of fibula (any part)"
"I7020","Atherosclerosis of arteries of extremities, unspecified"
"O010","Classical hydatidiform mole"
"J40","Bronchitis, not specified as acute or chronic"
"E669","Obesity, unspecified"
"D172","Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs"
"A400","Sepsis due to streptococcus, group A"
"R13","Dysphagia"
"D225","Melanocytic naevi of trunk"
"I802","Phlebitis and thrombophlebitis of other deep vessels of lower extremities"
"Z087","Follow-up examination after combined treatment for malignant neoplasm"
"D136","Benign neoplasm of pancreas"
"D481","Neoplasm of uncertain or unknown behaviour of connective and other soft tissue"
"K920","Haematemesis"
"C187","Malignant neoplasm of sigmoid colon"
"S611","Open wound of finger(s) with damage to nail"
"K5720","Diverticulosis of large intestine with perforation and abscess, without mention of haemorrhage"
"S799","Unspecified injury of hip and thigh"
"I7101","Dissection of thoracic aorta"
"Z524","Kidney donor"
"I978","Other postprocedural disorders of circulatory system, not elsewhere classified"
"J9690","Respiratory failure unspecified, type I"
"S7243","Supracondylar fracture of femur"
"T845","Infection and inflammatory reaction due to internal joint prosthesis"
"N813","Complete uterovaginal prolapse"
"P239","Congenital pneumonia, unspecified"
"A46","Erysipelas"
"S028","Fractures of other skull and facial bones"
"K358","Acute appendicitis, other and unspecified"
"H512","Internuclear ophthalmoplegia"
"G4020","Localisation-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures, without mention of intractable epilepsy"
"K621","Rectal polyp"
"B022","Zoster with other nervous system involvement"
"I634","Cerebral infarction due to embolism of cerebral arteries"
"F530","Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified"
"L97","Ulcer of lower limb, not elsewhere classified"
"A411","Sepsis due to other specified staphylococcus"
"S5188","Open wound of other parts of forearm"
"E1169","Type 2 diabetes mellitus with other specified complication"
"C169","Malignant neoplasm of stomach, unspecified"
"D121","Benign neoplasm of appendix"
"E840","Cystic fibrosis with pulmonary manifestations"
"A4901","Staphylococcus aureus infection, unspecified site"
"S661","Injury of flexor muscle and tendon of other finger at wrist and hand level"
"D124","Benign neoplasm of descending colon"
"S810","Open wound of knee"
"C060","Malignant neoplasm of cheek mucosa"
"N393","Stress incontinence"
"A414","Sepsis due to anaerobes"
"E1065","Type 1 diabetes mellitus with poor control"
"K250","Gastric ulcer, acute with haemorrhage"
"L0310","Cellulitis of upper limb"
"S6233","Fracture of neck of other metacarpal bone(s)"
"G912","Normal-pressure hydrocephalus"
"C170","Malignant neoplasm of duodenum"
"G10","Huntington's disease"
"G250","Essential tremor"
"D474","Osteomyelofibrosis"
"M6089","Other myositis, site unspecified"
"T825","Mechanical complication of other cardiac and vascular devices and implants"
"M4316","Spondylolisthesis, lumbar region"
"K2951","Chronic gastritis, unspecified, with haemorrhage"
"M512","Other specified intervertebral disc displacement"
"Q231","Congenital insufficiency of aortic valve"
"T8588","Other complications of internal prosthetic device, implant and graft, NEC"
"K0888","Other specified disorders of teeth and supporting structures"
"C435","Malignant melanoma of trunk"
"M8417","Nonunion of fracture [pseudarthrosis], ankle and foot"
"S8288","Fracture of other parts of lower leg"
"K565","Intestinal adhesions [bands] with obstruction"
"R12","Heartburn"
"G903","Multi-system degeneration"
"G510","Bell's palsy"
"K8050","Calculus of bile duct without cholangitis or cholecystitis, without mention of obstruction"
"K8020","Calculus of gallbladder without cholecystitis, without mention of obstruction"
"K5731","Diverticulosis of large intestine without perforation or abscess, with haemorrhage"
"M9075","Fracture of bone in neoplastic disease, pelvic region and thigh (C00-D48+)"
"K610","Anal abscess"
"L089","Local infection of skin and subcutaneous tissue, unspecified"
"C220","Liver cell carcinoma"
"M543","Sciatica"
"D069","Carcinoma in situ of cervix, unspecified"
"J9691","Respiratory failure unspecified, type II"
"S3202","Fracture of lumbar vertebra, L2 level"
"S6362","Sprain and strain of interphalangeal (joint), hand"
"L050","Pilonidal cyst with abscess"
"N998","Other postprocedural disorders of genitourinary system"
"R570","Cardiogenic shock"
"I859","Oesophageal varices without bleeding"
"L928","Other granulomatous disorders of skin and subcutaneous tissue"
"Z450","Adjustment and management of cardiac device"
