Data Element Name,Code Set Identifier,Code Set Type,Code,Descriptor,Program/Stream Restriction
Contact Indigenous Status,HL70005,Code Set,2,Indigenous - Torres Strait Islander but not Aboriginal origin,
Contact Indigenous Status,HL70005,Code Set,3,Indigenous - Both Aboriginal and Torres Strait Islander origin,
Contact Indigenous Status,HL70005,Code Set,4,Not indigenous - Neither Aboriginal or Torres Strait Islander origin,
Contact Indigenous Status,HL70005,Code Set,8,Question unable to be answered,
Contact Indigenous Status,HL70005,Code Set,9,Client refused to answer,
Contact Inpatient Flag,HL70004,Code Set,I,Yes (Inpatient/ Admitted),
Contact Inpatient Flag,HL70004,Code Set,O,No (Outpatient/ Non-admitted),
Contact Interpreter Required,HL70009,Code Set,1,Interpreter needed,
Contact Interpreter Required,HL70009,Code Set,2,Interpreter not needed,
Contact Interpreter Required,HL70009,Code Set,9,Not Stated/inadequately described,
Contact Medicare Benefits Schedule Item Number,990084,Code Set (Externally referenced),,http://www.health.gov.au/internet/mbsonline/publishing.nsf/Content/Medicare-Benefits-Schedule-mbs-downloads,
Contact Person Name Type,HL70200,Code Set,L,Legal Name,
Contact Person Name Type,HL70200,Code Set,S,Coded Pseudo-Name to ensure anonymity,
Contact Preferred Care Setting,990039,Code Set,11,Hospital Setting - Inpatient Setting,
Contact Preferred Care Setting,990039,Code Set,12,Hospital Setting - Clinic/Centre,
Contact Preferred Care Setting,990039,Code Set,13,Hospital Setting - Emergency Department,
Contact Preferred Care Setting,990039,Code Set,14,Hospital Setting - Other Non-Inpatient Setting ,
Contact Preferred Care Setting,990039,Code Set,15,Hospital Setting - Palliative Care Unit,
Contact Preferred Care Setting,990039,Code Set,21,Community Based Health Facility,
Contact Preferred Care Setting,990039,Code Set,22,General Practice Setting,
Contact Preferred Care Setting,990039,Code Set,23,Residential Care,
Contact Preferred Care Setting,990039,Code Set,24,Supported Accommodation Setting,
Contact Preferred Care Setting,990039,Code Set,31,Home,
Contact Preferred Care Setting,990039,Code Set,41,Educational Institution Setting,
Contact Preferred Care Setting,990039,Code Set,97,"Unknown, not stated or question not asked",
Contact Preferred Care Setting,990039,Code Set,98,Not applicable - patient/client not present,
Contact Preferred Care Setting,990039,Code Set,99,Other,
Contact Preferred Death Place,HL70435,Code Set,10,Private residence,
Contact Preferred Death Place,HL70435,Code Set,21,Residential – aged care setting,
Contact Preferred Death Place,HL70435,Code Set,22,Residential – other setting,
Contact Preferred Death Place,HL70435,Code Set,30,Non-residential setting,
Contact Preferred Death Place,HL70435,Code Set,41,Inpatient setting – designated palliative care unit,
Contact Preferred Death Place,HL70435,Code Set,42,Inpatient setting – other than designated palliative care unit,
Contact Preferred Death Place,HL70435,Code Set,97,"Unknown, not stated or question not asked",
Contact Preferred Death Place,HL70435,Code Set,98,Not applicable – patient/client not present,
Contact Preferred Death Place,HL70435,Code Set,99,Other location,
Contact Preferred Language,HL70296,Code Set (Externally referenced),,http://www.health.vic.gov.au/hdss/reffiles/index.htm,
Contact Professional Group,990013,Code Set,2512,Medical imaging professionals,
Contact Professional Group,990013,Code Set,2515,Pharmacist,
Contact Professional Group,990013,Code Set,2523,Dentist,
Contact Professional Group,990013,Code Set,2531,General practitioner (GP),
Contact Professional Group,990013,Code Set,2533,Intern Medical Specialist,
Contact Professional Group,990013,Code Set,4115,Indigenous health worker,
Contact Professional Group,990013,Code Set,099700,Care Coordinator,
Contact Professional Group,990013,Code Set,099710,Clinical Educator,
Contact Professional Group,990013,Code Set,099800,Not Applicable: Voluntary worker,
Contact Professional Group,990013,Code Set,099893,Medical Research Fellow,
Contact Professional Group,990013,Code Set,099894,Visiting Medical Officer,
Contact Professional Group,990013,Code Set,099895,Registrar,
Contact Professional Group,990013,Code Set,099896,Resident Medical Practitioner,
Contact Professional Group,990013,Code Set,099897,Other Health Professional ,
Contact Professional Group,990013,Code Set,099898,Other discipline service provider,
Contact Professional Group,990013,Code Set,099899,Discipline not stated,
Contact Professional Group,990013,Code Set,251111,Dietician / nutritionist,
Contact Professional Group,990013,Code Set,251212,Medical Radiation Therapist,
Contact Professional Group,990013,Code Set,251411,Optometrist,
Contact Professional Group,990013,Code Set,251412,Orthoptist,
Contact Professional Group,990013,Code Set,251912,Orthotist/Prosthetist,
Contact Professional Group,990013,Code Set,251999,Health Diagnostic and Promotion Professionals nec,
Contact Professional Group,990013,Code Set,252299,Other complementary medicine service provider,
Contact Professional Group,990013,Code Set,252311,Dental Specialist,
Contact Professional Group,990013,Code Set,252411,Occupational therapist,
Contact Professional Group,990013,Code Set,252511,Physiotherapist,
Contact Professional Group,990013,Code Set,252611,Podiatrist,
Contact Professional Group,990013,Code Set,252711,Audiologist,
Contact Professional Group,990013,Code Set,252712,Speech pathologist / therapist,
Contact Professional Group,990013,Code Set,252900,Allied Health Assistant,
Contact Professional Group,990013,Code Set,252999,Other Allied Health,
Contact Professional Group,990013,Code Set,253211,Anaesthetist,
Contact Professional Group,990013,Code Set,253311,Specialist Physician (General Medicine),
Contact Professional Group,990013,Code Set,253312,Cardiologist ,
Contact Professional Group,990013,Code Set,253313,Clinical Haematologist ,
Contact Professional Group,990013,Code Set,253314,Clinical Oncologist,
Contact Professional Group,990013,Code Set,253315,Endocrinologist,
Contact Professional Group,990013,Code Set,253316,Gastroenterologist ,
Contact Professional Group,990013,Code Set,253317,Intensive Care Specialist,
Contact Professional Group,990013,Code Set,253318,Neurologist ,
Contact Professional Group,990013,Code Set,253321,Paediatrician,
Contact Professional Group,990013,Code Set,253322,Renal Medicine Specialist ,
Contact Professional Group,990013,Code Set,253323,Rheumatologist ,
Contact Professional Group,990013,Code Set,253324,Thoracic Medicine Specialist ,
Contact Professional Group,990013,Code Set,253399,Geneticist,
Contact Professional Group,990013,Code Set,253411,Psychiatrist ,
Contact Professional Group,990013,Code Set,253511,Surgeon (General),
Contact Professional Group,990013,Code Set,253512,Cardiothoracic Surgeon,
Contact Professional Group,990013,Code Set,253513,Neurosurgeon,
Contact Professional Group,990013,Code Set,253514,Orthopaedic Surgeon,
Contact Professional Group,990013,Code Set,253515,Otorhinolaryngologist,
Contact Professional Group,990013,Code Set,253516,Paediatric Surgeon,
Contact Professional Group,990013,Code Set,253517,Plastic and Reconstructive Surgeon,
Contact Professional Group,990013,Code Set,253518,Urologist ,
Contact Professional Group,990013,Code Set,253521,Vascular Surgeon,
Contact Professional Group,990013,Code Set,253911,Dermatologist,
Contact Professional Group,990013,Code Set,253912,Emergency Medicine Specialist ,
Contact Professional Group,990013,Code Set,253913,Obstetrician and Gynaecologist ,
Contact Professional Group,990013,Code Set,253914,Ophthalmologist ,
Contact Professional Group,990013,Code Set,253915,Pathologist,
Contact Professional Group,990013,Code Set,253918,Radiation Oncologist,
Contact Professional Group,990013,Code Set,253999,Medical specialist NEC,
Contact Professional Group,990013,Code Set,254111,Midwife,
Contact Professional Group,990013,Code Set,254211,Nurse Educator,
Contact Professional Group,990013,Code Set,254400,Nurse - Division 1,
Contact Professional Group,990013,Code Set,254411,Nurse practitioner,
Contact Professional Group,990013,Code Set,272100,Counsellor,
Contact Professional Group,990013,Code Set,272199,Spiritual Carer,
Contact Professional Group,990013,Code Set,272313,Clinical psychologist,
Contact Professional Group,990013,Code Set,272389,Neuro psychologist,
Contact Professional Group,990013,Code Set,272399,Psychologist NEC,
Contact Professional Group,990013,Code Set,272511,Social worker,
Contact Professional Group,990013,Code Set,411311,Diversional therapist,
Contact Professional Group,990013,Code Set,411411,Nurse - Division 2 ,
Contact Professional Group,990013,Code Set,411711,Community worker,
Contact Professional Group,990013,Code Set,423111,Aged or disabled carer,
Contact Professional Group,990013,Code Set,423311,Hospital Orderly,
Contact Professional Group,990013,Code Set,423312,Nursing support worker,
Contact Professional Group,990013,Code Set,423313,Personal Care Assistant,
Contact Professional Group,990013,Code Set,434999,Exercise physiologist,
Contact Provider,990012,Code Set,101,Belmont Community Rehabilitation Centre,
Contact Provider,990012,Code Set,102,Colac Community Rehabilitation Centre,
Contact Provider,990012,Code Set,103,Western District Health Service,
Contact Provider,990012,Code Set,104,Lyndoch Warrnambool,
Contact Provider,990012,Code Set,105,The McKellar Centre,
Contact Provider,990012,Code Set,106,Warrnambool Base Hospital,
Contact Provider,990012,Code Set,201,Queen Elizabeth Centre,
Contact Provider,990012,Code Set,203,Wimmera Health Care Group,
Contact Provider,990012,Code Set,301,Echuca Regional Health ,
Contact Provider,990012,Code Set,302,Castlemaine Health,
Contact Provider,990012,Code Set,303,Stewart Cowen Community Rehabilitation Centre,
Contact Provider,990012,Code Set,304,Swan Hill District Hospital,
Contact Provider,990012,Code Set,305,Mildura Base Hospital,
Contact Provider,990012,Code Set,306,John Lindell Rehabilitation Unit,
Contact Provider,990012,Code Set,307,Anne Caudle,
Contact Provider,990012,Code Set,401,Goulburn Valley Health,
Contact Provider,990012,Code Set,402,Seymour Health,
Contact Provider,990012,Code Set,403,Northeast Health Wangaratta ,
Contact Provider,990012,Code Set,404,Albury Wodonga Health ,
Contact Provider,990012,Code Set,501,Bairnsdale Regional Health Service ,
Contact Provider,990012,Code Set,502,West Gippsland Healthcare Group,
Contact Provider,990012,Code Set,503,Bass Coast Regional Health,
Contact Provider,990012,Code Set,504,Yarram & District Health Service,
Contact Provider,990012,Code Set,505,Latrobe Regional Hospital,
Contact Provider,990012,Code Set,506,West Gippsland Community Services Drouin,
Contact Provider,990012,Code Set,509,Central Gippsland Health Service,
Contact Provider,990012,Code Set,601,"Royal Melbourne Hospital, Royal Park Campus",
Contact Provider,990012,Code Set,602,Werribee Mercy Community Rehabilitation Centre,
Contact Provider,990012,Code Set,603,Western Hospital – Sunshine Campus,
Contact Provider,990012,Code Set,604,Williamstown Hospital,
Contact Provider,990012,Code Set,605,"Royal Melbourne Hospital, City Campus",
Contact Provider,990012,Code Set,609,Royal Children’s Hospital,
Contact Provider,990012,Code Set,701,Bundoora Extended Care Centre,
Contact Provider,990012,Code Set,702,Heidelberg Repatriation Hospital,
Contact Provider,990012,Code Set,703,Broadmeadows Health Service,
Contact Provider,990012,Code Set,704,Royal Talbot Rehabilitation Centre,
Contact Provider,990012,Code Set,705,Panch,
Contact Provider,990012,Code Set,801,Angliss Hospital,
Contact Provider,990012,Code Set,802,Caulfield General Medical Centre,
Contact Provider,990012,Code Set,803,Peter James Centre,
Contact Provider,990012,Code Set,804,"Home for Rehab, Croydon",
Contact Provider,990012,Code Set,805,Port Phillip Community Rehabilitation Centre,
Contact Provider,990012,Code Set,806,Boorondara Community Rehabilitation Centre,
Contact Provider,990012,Code Set,807,Darebin Community Rehabilitation Centre,
Contact Provider,990012,Code Set,808,Cambridge Centre Community Rehabilitation Centre,
Contact Provider,990012,Code Set,809,St George’s Health Service,
Contact Provider,990012,Code Set,810,St Vincent’s Hospital Melbourne,
Contact Provider,990012,Code Set,901,Chelsea Community Rehabilitation Centre,
Contact Provider,990012,Code Set,902,Dandenong Hospital ,
Contact Provider,990012,Code Set,903,Monash Medical Centre Clayton,
Contact Provider,990012,Code Set,904,Frankston Community Rehabilitation Centre,
Contact Provider,990012,Code Set,905,Parkdale Community Rehabilitation Centre,
Contact Provider,990012,Code Set,906,Rosebud Community Rehabilitation Centre,
Contact Provider,990012,Code Set,907,Springvale Community Rehabilitation Centre,
Contact Provider,990012,Code Set,908,Casey Community Rehabilitation Centre,
Contact Provider,990012,Code Set,909,Cardinia Community Rehabilitation Centre,
Contact Provider,990012,Code Set,910,Mount Eliza Centre,
Contact Provider,990012,Code Set,911,Kingston Centre,
Contact Provider,990012,Code Set,1010,"Alfred, The [Prahran]",
Contact Provider,990012,Code Set,1021,"Bendigo Hospital, The (incorporating Bendigo Psyciatric Services)",
Contact Provider,990012,Code Set,1031,The Austin Hospital,
Contact Provider,990012,Code Set,1050,Box Hill Hospital,
Contact Provider,990012,Code Set,1101,East Grampians Health Service [Ararat],
Contact Provider,990012,Code Set,1160,Mercy Hospital for Women,
Contact Provider,990012,Code Set,1180,Western Hospital [Footscray],
Contact Provider,990012,Code Set,1210,Maroondah Hospital [East Ringwood],
Contact Provider,990012,Code Set,1220,Monash Medical Centre [Moorabbin],
Contact Provider,990012,Code Set,1230,Royal Women's Hospital,
Contact Provider,990012,Code Set,1240,Royal Victorian Eye and Ear Hospital,
Contact Provider,990012,Code Set,1250,Rosebud Hospital,
Contact Provider,990012,Code Set,1260,Kyabram and District Health Services,
Contact Provider,990012,Code Set,1280,"Northern Hospital, The [Epping]",
Contact Provider,990012,Code Set,1320,Mercy Werribee Hospital,
Contact Provider,990012,Code Set,1350,Maryborough District Health Service,
Contact Provider,990012,Code Set,1360,Sandringham & District Memorial Hospital,
Contact Provider,990012,Code Set,1550,Peter MacCallum Cancer Institute,
Contact Provider,990012,Code Set,2010,Ballarat Health Services [Base Campus],
Contact Provider,990012,Code Set,2040,Omeo District Health,
Contact Provider,990012,Code Set,2050,Geelong Hospital,
Contact Provider,990012,Code Set,2070,Ballarat Health Services [Queen Elizabeth Campus],
Contact Provider,990012,Code Set,2210,Dunmunkle Health Service ,
Contact Provider,990012,Code Set,2220,Frankston Hospital,
Contact Provider,990012,Code Set,2260,Stawell Regional Health,
Contact Provider,990012,Code Set,2330,Wantirna Health,
Contact Provider,990012,Code Set,2560,Cranbourne Integrated Care Centre,
Contact Provider,990012,Code Set,2700,Sunbury Day Hospital,
Contact Provider,990012,Code Set,3080,South West Healthcare [Camperdown],
Contact Provider,990012,Code Set,3240,Edenhope and District Hospital,
Contact Provider,990012,Code Set,3330,Yarra Ranges Health Service [Healesville],
Contact Provider,990012,Code Set,3660,Casey Hospital,
Contact Provider,990012,Code Set,3670,Craigieburn Health Service,
Contact Provider,990012,Code Set,3680,Melton Health,
Contact Provider,990012,Code Set,3690,Yarra Ranges Health,
Contact Provider,990012,Code Set,4050,Benalla Health,
Contact Provider,990012,Code Set,4161,Hepburn Health Service [Daylesford],
Contact Provider,990012,Code Set,4162,Hepburn Health Service [Creswick],
Contact Provider,990012,Code Set,5050,Orbost Regional Health,
Contact Provider,990012,Code Set,11504,St John of God Nepean Rehabilitation Hospital,
Contact Provider,990012,Code Set,00202A,Brotherhood of St Laurence - Sumner House,
Contact Provider,990012,Code Set,00336A,Uniting Care Community Options,
Contact Provider,990012,Code Set,01035A,Prahran Mission,
Contact Provider,990012,Code Set,01337A,Victorian Aboriginal Health Service,
Contact Provider,990012,Code Set,02602A,Sacred Heart Mission,
Contact Provider,990012,Code Set,02659A,Western Region Health Centre,
Contact Provider,990012,Code Set,02723A,Manningham Community Health Service,
Contact Provider,990012,Code Set,02735A,Inner South Community Health Service,
Contact Provider,990012,Code Set,02767A,City of Boroondara,
Contact Provider,990012,Code Set,02815A,City of Yarra,
Contact Provider,990012,Code Set,02909A,University of Melbourne,
Contact Provider,990012,Code Set,02918A,Care Connect,
Contact Provider,990012,Code Set,03074A,Merri Community Health Service,
Contact Provider,990012,Code Set,03078A,Caulfield Community Health Service,
Contact Provider,990012,Code Set,03079A,Frankston Community Health Service,
Contact Provider,990012,Code Set,03112A,Ballarat Hospice Care Inc.,
Contact Provider,990012,Code Set,03113A,Banksia Palliative Care Service,
Contact Provider,990012,Code Set,03129A,Mercy Hospice Inc.,
Contact Provider,990012,Code Set,03217A,Benalla Palliative Care,
Contact Provider,990012,Code Set,03244A,Monashlink Community Health Service,
Contact Provider,990012,Code Set,03253A,The Windana Society,
Contact Provider,990012,Code Set,03292A,Bendigo Health Care Group,
Contact Provider,990012,Code Set,03301A,Central Grampians Palliative Care,
Contact Provider,990012,Code Set,03312A,Maryborough Community Palliative Care,
Contact Provider,990012,Code Set,03384A,Bethlehem Community Service,
Contact Provider,990012,Code Set,03463A,Colac Area Health,
Contact Provider,990012,Code Set,03541A,Lower Hume Palliative Care,
Contact Provider,990012,Code Set,03592A,West Wimmera Health Service,
Contact Provider,990012,Code Set,03609A,Beaufort and Skipton Health Service,
Contact Provider,990012,Code Set,05568A,Central Bayside Community Health Service,
Contact Provider,990012,Code Set,05798A,Knox Community Health Service,
Contact Provider,990012,Code Set,06081A,Bellarine Community Health Inc,
Contact Provider,990012,Code Set,06107A,Whitehorse Community Health Service,
Contact Provider,990012,Code Set,06119A,Dianella Community Health,
Contact Provider,990012,Code Set,06178A,Latrobe Community Health,
Contact Provider,990012,Code Set,06198A,North Yarra Community Health Service,
Contact Provider,990012,Code Set,06270A,Bentleigh Bayside Community Health Service,
Contact Provider,990012,Code Set,06280A,Elmhurst Bush Nursing Centre,
Contact Provider,990012,Code Set,06418A,Macedon Ranges Palliative Care,
Contact Provider,990012,Code Set,06423A,Lake Bolac Bush Nursing Centre,
Contact Provider,990012,Code Set,06424A,Gippsland Lakes Community Health,
Contact Provider,990012,Code Set,06459A,Mallacoota District Health and Support Services,
Contact Provider,990012,Code Set,06613A,Portland Palliative Care,
Contact Provider,990012,Code Set,06613B,Portland District Health,
Contact Provider,990012,Code Set,06637A,Inner East Community Health Service - Richmond,
Contact Provider,990012,Code Set,06637B,Inner East Community Health Service - Boroondara,
Contact Provider,990012,Code Set,06654A,Royal District Nursing Service,
Contact Provider,990012,Code Set,06670A,Bass Coast Community Health Service,
Contact Provider,990012,Code Set,06729A,Sunraysia Community Health Service,
Contact Provider,990012,Code Set,06833A,WGHG Community Palliative Care ,
Contact Provider,990012,Code Set,06888A,Woomelang Bush Nursing Centre,
Contact Provider,990012,Code Set,07044A,Doutta Gala Community Health Service,
Contact Provider,990012,Code Set,07230A,South Gippsland Palliative Care ,
Contact Provider,990012,Code Set,07729A,Ranges Community Health Service,
Contact Provider,990012,Code Set,10056A,Banyule Community Health Service,
Contact Provider,990012,Code Set,10150A,Plenty Valley Community Health,
Contact Provider,990012,Code Set,10204A,Balmoral Bush Nursing Centre,
Contact Provider,990012,Code Set,10283A,Bendigo Community Health Services,
Contact Provider,990012,Code Set,10292A,Melbourne Citymission Palliative Care,
Contact Provider,990012,Code Set,10308A,Port Phillip Community Group,
Contact Provider,990012,Code Set,10394A,City of Darebin,
Contact Provider,990012,Code Set,10409A,ISIS primary care,
Contact Provider,990012,Code Set,10413A,Ovens and King Community Health Service,
Contact Provider,990012,Code Set,10433A,East Wimmera Health Service,
Contact Provider,990012,Code Set,10435A,Djerriwarrh Health Service,
Contact Provider,990012,Code Set,10441A,Barwon Health,
Contact Provider,990012,Code Set,10564A,North Richmond Community Health Service,
Contact Provider,990012,Code Set,10564B,Inner Melbourne PAC (IMPAC),
Contact Provider,990012,Code Set,10704A,Greater Dandenong Community Health Service,
Contact Provider,990012,Code Set,10714A,South East Palliative Care Ltd,
Contact Provider,990012,Code Set,10730A,Peninsula Hospice Service,
Contact Provider,990012,Code Set,10756A,Darebin Community Health Service,
Contact Provider,990012,Code Set,10797A,Eastern Palliative Care Association,
Contact Provider,990012,Code Set,10816A,St Vincent De Paul - Ozanam House,
Contact Provider,990012,Code Set,10824A,Nilubik Community Health Service,
Contact Provider,990012,Code Set,10851A,Eastern Access Community Health,
Contact Provider,990012,Code Set,11011A,Rural Northwest Health,
Contact Provider,990012,Code Set,11473A,Moira Palliative Care,
Contact Provider,990012,Code Set,11587A,Goulburn Valley Hospice Care Inc.,
Contact Provider,990012,Code Set,11812A,The Salvation Army - Bridge Programme,
Contact Provider,990012,Code Set,11853A,Yarra Valley Community Health,
Contact Provider,990012,Code Set,12062A,HomeGround Services,
Contact Provider,990012,Code Set,12354A,Very Special Kids - Malvern,
Contact Provider,990012,Code Set,12437A,Cardinia/Casey Community Health Service,
Contact Provider,990012,Code Set,3019A,Victorian Clinical Genetics Service,
Contact Provider,990012,Code Set,3050A,Ballarat Community Health ,
Contact Provider,990012,Code Set,BROKER,Brokered service provider,
Contact Provider,990012,Code Set,GPD301,Melbourne Division of General Practice,
Contact Provider,990012,Code Set,GPD303,Inner Eastern Melbourne Division of General Practice,
Contact Provider,990012,Code Set,GPD306,Western Melbourne Division of General Practice,
Contact Provider,990012,Code Set,GPD308,Northern Division of General Practice - Melbourne,
Contact Provider,990012,Code Set,GPD310,Whitehorse Division of General Practice,
Contact Provider,990012,Code Set,GPD314,Knox Division of General Practice,
Contact Provider,990012,Code Set,GPD320,Eastern Ranges GP Association,
Contact Provider,990012,Code Set,GPD326,Bendigo and District Division of General Practice,
Contact Purpose,HL70230,Code Set,11,Initial Needs Identification (INI),
Contact Purpose,HL70230,Code Set,12,Comprehensive Assessment,
Contact Purpose,HL70230,Code Set,13,Specialist Assessment,
Contact Purpose,HL70230,Code Set,21,Education / Self-Management,
Contact Purpose,HL70230,Code Set,22,Therapy/Clinical Intervention not further specified,
Contact Purpose,HL70230,Code Set,23,Symptom control/pain management,
Contact Purpose,HL70230,Code Set,24,Spiritual Care,
Contact Purpose,HL70230,Code Set,25,Personal Care,
Contact Purpose,HL70230,Code Set,26,Bereavement Support,
Contact Purpose,HL70230,Code Set,27,Social Support,
Contact Purpose,HL70230,Code Set,28,Supported Accommodation,
Contact Purpose,HL70230,Code Set,29,Formal Family Meeting,*HBPCCT
Contact Purpose,HL70230,Code Set,41,Case Conference,
Contact Purpose,HL70230,Code Set,42,Case management and/or care co-ordination,
Contact Purpose,HL70230,Code Set,61,Research/Medical Trial,*OP
Contact Purpose,HL70230,Code Set,71,Follow up/Monitoring/Evaluation/Review,
Contact Purpose,HL70230,Code Set,72,New Patient Consultation,*OP
Contact Purpose,HL70230,Code Set,99,Other,
Contact Session Type,990024,Code Set,1,Individual,
Contact Session Type,990024,Code Set,2,Group,
Contact Session Type,990024,Code Set,3,Not applicable - Indirect Contact,
Contact Session Type,990024,Code Set,4,Group - Individual Program,
Contact Specialist Palliative Care Provider,990035,Code Set,1,Yes,
Contact Specialist Palliative Care Provider,990035,Code Set,2,No,
Episode Campus Code,HL70115,Code Set,1650,Albury Wodonga Health - Albury,
Episode Campus Code,HL70115,Code Set,1660,Albury Wodonga Health - Wodonga,
Episode Campus Code,HL70115,Code Set,1010,Alfred Health - Alfred Hospital,
Episode Campus Code,HL70115,Code Set,1370,Alfred Health - Caulfield General Medical Centre,
Episode Campus Code,HL70115,Code Set,1590,Angliss Hospital,
Episode Campus Code,HL70115,Code Set,1040,Bairnsdale Regional Health Service ,
Episode Campus Code,HL70115,Code Set,2010,Ballarat Health Services [Base Campus],
Episode Campus Code,HL70115,Code Set,2070,Ballarat Health Services [Queen Elizabeth Campus],
Episode Campus Code,HL70115,Code Set,03112A,Ballarat Hospice Care Inc.,
Episode Campus Code,HL70115,Code Set,03113A,Banksia Palliative Care Service,
Episode Campus Code,HL70115,Code Set,2050,Barwon Health - Geelong Hospital,
Episode Campus Code,HL70115,Code Set,3040,Barwon Health -The McKellar Centre,
Episode Campus Code,HL70115,Code Set,06670A,Bass Coast Community Health Service,
Episode Campus Code,HL70115,Code Set,1670,Bass Coast Regional Health,
Episode Campus Code,HL70115,Code Set,06081A,Bellarine Community Health Inc,
Episode Campus Code,HL70115,Code Set,4050,Benalla Health,
Episode Campus Code,HL70115,Code Set,03217A,Benalla Palliative Care,
Episode Campus Code,HL70115,Code Set,1022,Bendigo Health - Anne Caudle ,
Episode Campus Code,HL70115,Code Set,1021,Bendigo Health - Bendigo Hospital,
Episode Campus Code,HL70115,Code Set,03384A,Bethlehem Community Service,
Episode Campus Code,HL70115,Code Set,3060,Boort District Health,
Episode Campus Code,HL70115,Code Set,1050,Box Hill Hospital,
